Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,22247412282.0134,23595196297.5657,24881849659.0739,24768414727.2471,27481246818.5292,27922666606.9604,28639388964.5054,28102153000.1127,30768893886.4181,31144538360.9721,32894815414.1334,31092349586.6808,26747589008.347,27637128279.6497,30288069546.9242,29049828419.5677,30694444134.7272,31514923830.6905,33744238404.0282,35364513430.9304,35654198967.1755,38233403645.3313,39049429821.8961,40564956312.1479,42513416921.3729,43934221544.8668,45767764684.2544,47494308687.0635,48641893176.7641,50021660425.862,52834007311.7264,54675392830.8497,57651202535.6782,60367474528.0862,62715845616.5688,65927698356.1994,68909554894.375,72003522586.1076,75731164300.0049,79267928092.7439,83463813144.2787,87701511125.825,91063218744.4714,95379221373.1385,100376647066.571,106937209452.223,114071958456.14,122123840982.622,129468112024.973,135999939844.645,143577568429.273,152858966788.01,162827601299.47,172619411144.681,183081976119.179,195078678697.23,208955558005.06,222726251662.185,239028505056.988,257868529012.707,266759891218.313,285269493337.993,,
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,30380970883.0197,31869687630.9227,32613706392.5414,33732456291.6572,34878160151.893,35814094911.0179,37321009485.9442,39580615170.0295,43912591617.547,42467919140.2176,38595958807.5266,35336392994.7858,32766593402.8565,32281577420.0861,32868460156.4271,33808903309.907,35568789956.9259,30548119474.0422,31705624574.9263,29043591589.2088,30375886420.3129,31537370210.8365,33389222965.314,35137868397.1888,37425493085.4681,40066366470.1882,42791916798.9118,45639456472.4552,48436954205.3956,46815700521.4237,47537505667.6491,48536366470.1882,48902782248.9232,48628685105.4183,49098860802.5391,50781996712.7635,52325680684.652,53771005440.9431,55214628202.2217,57444273407.3906,55170276014.5092,59382311267.2863,,
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7719989594.2972,7309541111.89847,6757216271.72362,7188081842.37558,7547748015.19352,7188605896.05476,7273646666.44917,8030033862.1097,8592135561.90565,8623411548.67152,9006118309.71319,10017505286.0204,10687676226.0298,12063180869.1514,12033022737.8954,12505919514.1411,13019913570.9245,13422619469.9058,14065563316.8115,14670382393.2056,15447922937.5299,15832722681.7137,16362889422.8255,17393169261.3715,18607379553.6075,19866912679.454,21151705946.6711,22906020071.8799,24336503493.4839,24954622922.9927,26036230937.9271,26552663487.0358,27542575573.0076,29034512771.3789,30297627559.0615,31050638297.8723,32155459790.271,33535234420.6161,34243206973.6781,34985245170.2699,33258424204.4726,33998540960.6733,,
Bahamas, The,BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2202354444.68328,2437281738.94449,2692025741.28975,2975336016.3498,3287792927.54132,3630564951.60747,3959927215.79835,4340005538.98728,4705510544.22122,5128143623.82552,4838421482.22546,4917118830.51938,4745150666.81204,5104243209.29092,4249066609.45372,3620071912.19868,3807779336.91169,4156378840.09251,4745733414.75673,5986234708.4335,6375057529.20037,5786868897.47608,6174525328.25248,6396626206.90889,7303101613.5781,7655781544.46962,7793355956.23678,8025950172.29877,8211326158.29321,8763729149.89785,8623838203.34883,8263207849.83172,7947092060.21947,7971553709.56762,8222571209.48313,8582617218.20914,8945106667.70758,9560148893.02768,9129598350.39419,10243182778.5635,10668196405.7825,10948253587.4492,11244367823.818,11102179835.973,11200183238.8101,11580458589.4797,11871921816.9003,12043676933.0589,11763841228.0088,11272606092.4321,11446022283.215,11516230370.6712,11871722487.9454,11531800176.8168,11744827460.4753,11861900000,11760164716.1735,12118868244.3881,12340765666.5406,12574766785.7893,9579129439.06867,10893360608.0296,,
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436026764.95605,2942720272.18599,5560495548.6249,7472726282.96002,8638471335.41253,9467764559.1154,10676369152.254,10935091012.1917,11484846611.8514,11928981570.74,12683521406.2943,13177820810.8874,13891268500.1418,14704897646.7253,15505407428.4094,15039554295.4352,15169747093.8475,15315302523.391,15189435781.1171,15546365749.9291,15725747660.9016,16211541593.4222,16722173915.5089,17252506776.2971,17897763141.48,18404449050.1843,17830360816.558,19175766940.7428,,
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452556633.7413,29099127258.7491,26305610635.692,24306383742.7746,21462535897.5156,19230432058.6858,19768885050.6478,22022539015,23872430402.7966,24684092836.7343,26115771070.4161,27349821166.1531,28729692799.2932,30753180384.6838,34274340535.4692,37496129067.9992,41245740029.6776,44792876368.1538,49361749506.6609,49460470690.6153,53317530166.8315,56185324133.9697,57133246703.6914,57706562174.7975,58702799524.0454,56454734396.5842,55028435771.7374,56421856742.7841,58198692497.6768,59013474192.6442,58600611434.1156,59948354831.6356,,
Belize,BLZ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,142441397.57315,149410025.617084,156720138.493001,164487869.027588,172712064.946166,181227704.053475,189873797.115639,199202530.62043,213878230.167578,224799654.196277,235607332.252983,244936065.757774,269964377.16832,284412584.771482,322978889.093242,334582953.564568,334469125.287241,356198227.372645,384412002.13634,413308335.037329,468843260.720262,474158868.817088,473648150.267044,463497017.977184,472637480.564784,477423000.818642,499095412.44659,552674822.885241,606769039.7659,685704965.897027,764172850.678733,851692647.058824,954215837.104073,1013729298.64253,1015729751.13122,1022231221.71946,1032733597.28507,1069741968.32579,1111751470.58824,1211273981.90045,1368809615.38462,1437825226.24434,1511341855.20362,1652373755.65611,1728891063.34842,1766899660.63348,1847917986.42534,1908431674.20814,1879425113.12217,1870923190.04525,1894428506.78733,1892428054.29864,1965444570.13575,2054464705.88235,2138483710.40724,2210500000,2213000565.61086,2175492081.44796,2199497511.31222,2298519909.50226,1990450226.24434,2293518778.28054,,
Bermuda,BMU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1684353374.03431,1763181111.92075,1841995307.60412,1861704657.40225,2068540044.85568,2167002550.99883,2478262917.43354,2807253304.72231,2866353374.30658,2964853490.1743,3152003710.52447,3260353838.09562,3319453907.67989,3368703965.66677,3398254000.45891,3526304151.11876,3841504522.23484,4068054788.86847,4127154858.45273,4215804962.82913,4550705357.03391,4659055484.60506,4412805194.77668,4501455299.15308,4523125324.58246,4432505217.97143,4728005565.7867,4905305774.5395,5104276008.72168,5126931035.37444,5127916036.59781,4946675890.08297,4943720834.23487,5092455993.93519,5122991040.76808,5348359015.58225,5487441777.63634,5739864145.64664,5963718852.73555,6165450410.7722,6739895068.97791,7226679645.63174,7119884453.30351,7362722827.73814,7533631299.4758,7659759815.30576,8084406664.52899,8354841362.08309,8198943712.90485,7737613934.72433,7543950875.42882,7261600082.73073,6876350478.40565,6857116738.50431,6603330213.03728,6654541000,6610806937.02849,6849550930.14215,6819905984.64909,6840793088.0543,6373022721.95909,6718028461.70344,,
Bolivia,BOL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4727739741.04915,4826516215.30958,5095783590.41204,5442175889.29263,5657500831.80231,5935478851.35736,6361087684.30403,6762931556.99211,7339771954.98812,7668160496.1229,8069284218.52596,8477859226.69837,9153331406.68551,9678655881.10015,9963166533.65501,10691575405.5395,11184945367.9432,11740973123.3016,11981979440.6382,11997956697.0313,11833371977.2431,11865986688.1404,11398616569.9654,10937870650.2962,10915922095.7698,10732928693.2276,10456675537.3624,10714274130.5308,11026005717.8456,11443905774.5995,11974420919.7536,12605056990.7864,12812599025.1273,13359606817.7445,13983135084.6028,14637304820.8066,15275687736.6638,16032477194.0665,16838807348.2396,16910689762.1471,17334777867.8778,17626660706.3223,18064782945.5637,18554580602.0356,19328918095.8879,20183533283.647,21151739156.1698,22117185810.8083,23477060510.312,24265185331.7026,25266542216.5478,26581436430.6683,27943010858.0135,29842021069.2817,31471565371.8699,33000198248.3362,34407300577.8681,35850757819.7381,37364958855.9519,38193230057.6737,34855949753.6257,36984185806.4194,,
Brazil,BRA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,188464088773.788,204672000408.334,218180352435.284,219489434549.896,226952075324.592,232398925132.383,247969653116.252,258384378547.135,283706047644.754,310658122171.006,342966566876.79,381868997020.349,427465484612.615,487176948862.304,526901058557.905,554124187273.806,610961422946.065,641108263934.078,672970688728.912,718460547037.255,784558917364.681,751215163376.685,757450249232.708,735256956930.19,774960832604.42,835795257963.87,898396322785.362,930109712979.684,929551647151.897,958925479201.9,917212220856.615,926679589877.167,921637785237.654,967025589117.641,1023624343217.9,1066860123057.74,1090425612783.91,1127443882933.16,1131255747038.65,1136549317651.98,1186420527155.95,1202910543363.1,1239640958003.7,1253783141526.78,1326000607099.75,1368460897672.78,1422679163956.12,1509033948357.92,1585907087042.63,1583911825584.01,1703152284574.41,1770842762050.66,1804863767940.85,1859096723592.52,1868465748247.72,1802214373741.32,1743175328356.73,1766235255333.29,1797739006514.93,1819685405632.83,1749105698451.8,1829904265254.51,,
