,Year,NOC,Total,Event number,Medal share,GDP,GDP/capita,population (millions),GNI,number of 65+
106,1976,ITA,13,198,2.19,1059956551731.36,19023.504174957365,55.71826,225069397534.31,12.424519358644725
107,1976,JAM,2,198,0.34,9113027630.31234,4490.3131286997495,2.029486,2892811035.08965,6.670260351635833
108,1976,JPN,24,198,4.04,1894837095328.83,16801.925030625847,112.775,586222292005.631,8.284508978053646
109,1976,MEX,1,198,0.17,385385005141.177,6375.0007198403055,60.452543,86770084415.5844,3.472702546193963
110,1976,NOR,2,198,0.34,138613702593.779,34428.33320594429,4.026152,35367894804.3618,13.88958986148561
111,1976,PAK,1,198,0.17,42135607957.715,599.9580549114384,70.230923,13023880818.1818,3.3765539433391756
112,1976,PAN,0,198,0.0,8456373832.37542,4753.343428144226,1.779037,2303264100.0,4.0001416496677695
113,1976,SEN,0,198,0.0,5689083989.09634,1098.0254534130331,5.181195,2808760856.99758,2.7517204042696712
114,1976,SWE,5,198,0.84,225211512171.391,27390.376857651387,8.222286,88156396611.4925,15.308638011375425
115,1976,TTO,1,198,0.17,7059051188.12887,6611.4804102749,1.067696,2391821988.66902,4.509429650387376
116,1976,TUN,0,198,0.0,9842857705.24887,1659.8416568182436,5.929998,4316231343.28358,3.2885171293481044
117,1976,TUR,0,198,0.0,170348605691.149,4206.03487097241,40.500997,50831309006.2112,4.80300521984681
118,1976,USA,93,198,15.66,6232037023000.0,28582.73682206985,218.035,1869603000000.0,10.654954479785356
119,1980,AUS,9,203,1.48,452292014146.286,30784.917924468147,14.692,148418941504.178,9.618220800435612
120,1980,AUT,4,203,0.66,192667120935.942,25520.740555740012,7.549433,82147201659.2214,15.382771129964329
121,1980,BEL,1,203,0.16,240499429910.323,24393.298177519428,9.859242,126898081114.637,14.436718360295853
122,1980,BEN,0,203,0.0,2879134857.7986,750.9600068750703,3.833939,1402351617.0042,4.360867504673392
123,1980,BRA,4,203,0.66,784558917364.681,6415.645526727432,122.288383,227299903221.934,3.7963548835215195
124,1980,COL,0,203,0.0,86155084341.6415,3291.3524804365757,26.176195,33155485755.6215,3.4898578651328047
125,1980,CUB,19,203,3.12,35363534231.8829,3605.1736648282963,9.809107,19531412500.0,7.352534741439766
126,1980,ECU,0,203,0.0,33793084551.9767,4153.604764099697,8.135845,17268130651.1089,3.7144635867571227
127,1980,ESP,6,203,0.99,552143016545.967,14727.283522557036,37.491165,229755263402.181,11.162352516919654
128,1980,FIN,8,203,1.31,114334193866.016,23921.61452233659,4.779535,53811538093.7201,11.976729953855344
129,1980,FRA,13,203,2.13,1300253881649.64,23618.399617471892,55.052582,706460726482.459,13.984295959088714
130,1980,GBR,20,203,3.28,1356940956112.01,24095.886482944377,56.314216,601716539623.518,14.932994894219961
131,1980,GUY,1,203,0.16,2514896326.63604,3231.783461114247,0.778176,561200040.0,3.6460903446007076
132,1980,IND,1,203,0.16,270942678836.504,388.82267810675364,696.828385,186762452323.637,3.984675796466012
133,1980,IRL,2,203,0.33,57071243895.3609,16722.703907454554,3.4128,21930124615.6336,10.869491326769808
134,1980,IRQ,0,203,0.0,39747323863.3754,2911.1733421527974,13.653369,54149000000.0,4.46847221370784
135,1980,ITA,15,203,2.46,1229990843476.89,21795.25451893661,56.433883,480255724621.298,13.279068534057812
136,1980,JAM,3,203,0.49,8275943106.37882,3875.3288884336,2.135546,2467407073.20085,7.1717022250984055
137,1980,MEX,4,203,0.66,520217776788.95,7683.57355652121,67.705186,198701734782.609,3.660617666717583
138,1980,MLT,0,203,0.0,2433318207.03429,7684.6885535356305,0.316645,1347909893.11459,9.580444977814272
139,1980,PER,0,203,0.0,65927903901.4008,3768.944300824072,17.492406,17304349844.2907,4.056331644714855
140,1980,SLE,0,203,0.0,2189781852.31465,650.2737367811718,3.367477,1070606877.50048,4.0741183978390945
141,1980,SWE,12,203,1.97,238138025327.291,28654.971063496545,8.310531,140098077123.132,16.291522166273133
142,1980,TTO,0,203,0.0,9691825499.60915,8593.171355469645,1.127852,5920875000.0,4.6702049559694006
143,1984,ARG,0,221,0.0,287117132733.287,9624.404556368643,29.832197,74996801894.5786,8.04617239554968
144,1984,AUS,24,221,3.62,493875279390.738,31700.551028646627,15.579391,191199058141.641,10.097589822349281
145,1984,AUT,2,221,0.3,202197109935.467,26740.577241759565,7.561434,68089737294.5465,14.13103652032141
