Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1924,IRL,IRL1924,0,1,1,0,0,0,0,1,1
1924,ITA,ITA1924,8,3,5,0,0,0,8,3,5
1924,JPN,JPN1924,0,0,1,0,0,0,0,0,1
1924,LUX,LUX1924,1,1,0,0,0,0,1,1,0
1924,MON,MON1924,0,0,1,0,0,0,0,0,1
1924,NED,NED1924,4,2,5,0,1,0,4,1,5
1924,NOR,NOR1924,5,2,3,0,0,0,5,2,3
1924,NZL,NZL1924,0,0,1,0,0,0,0,0,1
1924,POL,POL1924,0,1,1,0,0,0,0,1,1
1924,POR,POR1924,0,0,1,0,0,0,0,0,1
1924,ROU,ROU1924,0,0,1,0,0,0,0,0,1
1924,RSA,RSA1924,1,1,1,0,0,0,1,1,1
1924,SUI,SUI1924,7,8,10,0,0,0,7,8,10
1924,SWE,SWE1924,4,15,10,0,2,0,4,13,10
1924,TCH,TCH1924,1,4,4,0,0,0,1,4,4
1924,URU,URU1924,1,0,0,0,0,0,1,0,0
1924,USA,USA1924,45,25,29,9,4,6,36,21,23
1924,YUG,YUG1924,2,0,0,0,0,0,2,0,0
1928,ARG,ARG1928,3,3,1,0,0,0,3,3,1
1928,AUS,AUS1928,1,2,1,0,0,0,1,2,1
1928,AUT,AUT1928,3,0,1,0,0,0,3,0,1
1928,BEL,BEL1928,0,1,2,0,0,0,0,1,2
1928,CAN,CAN1928,4,4,7,2,1,1,2,3,6
1928,CHI,CHI1928,0,1,0,0,0,0,0,1,0
1928,DEN,DEN1928,3,2,4,0,0,0,3,2,4
1928,EGY,EGY1928,2,1,1,0,0,0,2,1,1
1928,ESP,ESP1928,1,0,0,0,0,0,1,0,0
1928,EST,EST1928,2,1,2,0,0,0,2,1,2
1928,FIN,FIN1928,8,8,9,0,0,0,8,8,9
1928,FRA,FRA1928,7,12,6,0,0,0,7,12,6
1928,GBR,GBR1928,4,10,8,0,3,4,4,7,4
1928,GER,GER1928,10,13,15,3,4,0,7,9,15
1928,HAI,HAI1928,0,1,0,0,0,0,0,1,0
1928,HUN,HUN1928,5,5,0,0,0,0,5,5,0
1928,IND,IND1928,1,0,0,0,0,0,1,0,0
1928,IRL,IRL1928,1,0,0,0,0,0,1,0,0
1928,ITA,ITA1928,7,5,8,0,0,1,7,5,7
1928,JPN,JPN1928,2,1,2,0,0,1,2,1,1
1928,LUX,LUX1928,1,0,0,0,0,0,1,0,0
