,NOC,Year,Medal,Number of Medals
1755,NED,1908,Bronze,1
1756,NED,1912,Bronze,3
1757,NED,1920,Bronze,5
1758,NED,1920,Gold,4
1759,NED,1920,Silver,2
1760,NED,1924,Bronze,6
1761,NED,1924,Gold,4
1762,NED,1924,Silver,1
1763,NED,1928,Bronze,5
1764,NED,1928,Gold,8
1765,NED,1928,Silver,10
1766,NED,1932,Bronze,1
1767,NED,1932,Gold,2
1768,NED,1932,Silver,5
1769,NED,1936,Bronze,7
1770,NED,1936,Gold,6
1771,NED,1936,Silver,4
1772,NED,1948,Bronze,9
1773,NED,1948,Gold,5
1774,NED,1948,Silver,2
1775,NED,1952,Silver,5
1776,NED,1960,Bronze,2
1777,NED,1960,Silver,1
1778,NED,1964,Bronze,4
1779,NED,1964,Gold,2
1780,NED,1964,Silver,4
1781,NED,1968,Bronze,1
1782,NED,1968,Gold,3
1783,NED,1968,Silver,3
1784,NED,1972,Bronze,1
1785,NED,1972,Gold,3
1786,NED,1972,Silver,1
1787,NED,1976,Bronze,3
1788,NED,1976,Silver,2
1789,NED,1980,Bronze,1
1790,NED,1980,Silver,1
1791,NED,1984,Bronze,5
1792,NED,1984,Gold,5
1793,NED,1984,Silver,2
1794,NED,1988,Bronze,3
1795,NED,1988,Gold,2
1796,NED,1988,Silver,2
1797,NED,1992,Bronze,6
1798,NED,1992,Gold,2
1799,NED,1992,Silver,6
1800,NED,1996,Bronze,9
1801,NED,1996,Gold,4
1802,NED,1996,Silver,5
1803,NED,2000,Bronze,4
1804,NED,2000,Gold,12
1805,NED,2000,Silver,9
1806,NED,2004,Bronze,8
1807,NED,2004,Gold,4
1808,NED,2004,Silver,9
1809,NED,2008,Bronze,4
1810,NED,2008,Gold,7
1811,NED,2008,Silver,5
1812,NED,2012,Bronze,7
1813,NED,2012,Gold,6
1814,NED,2012,Silver,6
1815,NED,2016,Bronze,3
1816,NED,2016,Gold,8
1817,NED,2016,Silver,7
1818,NGR,1984,Bronze,1
1819,NGR,1984,Silver,1
1820,NGR,1992,Bronze,1
1821,NGR,1992,Silver,3
1822,NGR,1996,Bronze,3
1823,NGR,1996,Gold,2
1824,NGR,1996,Silver,1
1825,NGR,2000,Gold,1
1826,NGR,2000,Silver,2
1827,NGR,2004,Bronze,2
1828,NGR,2008,Bronze,2
1829,NGR,2008,Silver,1
1830,NGR,2016,Bronze,1
1831,NIG,1972,Bronze,1
1832,NIG,2016,Silver,1
1833,NOR,1900,Bronze,3
1834,NOR,1900,Silver,2
1835,NOR,1904,Gold,2
1836,NOR,1906,Gold,1
1837,NOR,1906,Silver,1
1838,NOR,1908,Bronze,3
1839,NOR,1908,Gold,2
1840,NOR,1908,Silver,3
1841,NOR,1912,Bronze,4
1842,NOR,1912,Gold,4
1843,NOR,1912,Silver,1
1844,NOR,1920,Bronze,9
1845,NOR,1920,Gold,10
1846,NOR,1920,Silver,10
1847,NOR,1924,Bronze,3
1848,NOR,1924,Gold,5
1849,NOR,1924,Silver,2
1850,NOR,1928,Bronze,1
1851,NOR,1928,Gold,1
1852,NOR,1928,Silver,2
1853,NOR,1936,Bronze,2
1854,NOR,1936,Gold,1
1855,NOR,1936,Silver,3
1856,NOR,1948,Bronze,3
1857,NOR,1948,Gold,1
1858,NOR,1948,Silver,3
1859,NOR,1952,Gold,3
1860,NOR,1952,Silver,2
1861,NOR,1956,Bronze,2
1862,NOR,1956,Gold,1
1863,NOR,1960,Gold,1
1864,NOR,1968,Gold,1
1865,NOR,1968,Silver,1
1866,NOR,1972,Bronze,1
1867,NOR,1972,Gold,2
1868,NOR,1972,Silver,1
1869,NOR,1976,Gold,1
1870,NOR,1976,Silver,1
1871,NOR,1984,Bronze,2
1872,NOR,1984,Silver,1
1873,NOR,1988,Gold,2
1874,NOR,1988,Silver,3
1875,NOR,1992,Bronze,1
1876,NOR,1992,Gold,2
1877,NOR,1992,Silver,4
1878,NOR,1996,Bronze,3
1879,NOR,1996,Gold,2
1880,NOR,1996,Silver,2
1881,NOR,2000,Bronze,3
1882,NOR,2000,Gold,4
1883,NOR,2000,Silver,3
1884,NOR,2004,Bronze,1
1885,NOR,2004,Gold,5
1886,NOR,2008,Bronze,1
1887,NOR,2008,Gold,3
1888,NOR,2008,Silver,5
1889,NOR,2012,Bronze,1
1890,NOR,2012,Gold,2
1891,NOR,2012,Silver,1
1892,NOR,2016,Bronze,4
1893,NZL,1920,Bronze,1
1894,NZL,1924,Bronze,1
1895,NZL,1928,Gold,1
1896,NZL,1932,Silver,1
1897,NZL,1936,Gold,1
1898,NZL,1952,Bronze,2
1899,NZL,1952,Gold,1
1900,NZL,1956,Gold,2
1901,NZL,1960,Bronze,1
1902,NZL,1960,Gold,2
1903,NZL,1964,Bronze,2
1904,NZL,1964,Gold,3
1905,NZL,1968,Bronze,2
1906,NZL,1968,Gold,1
1907,NZL,1972,Bronze,1
1908,NZL,1972,Gold,1
1909,NZL,1972,Silver,1
1910,NZL,1976,Bronze,1
1911,NZL,1976,Gold,2
1912,NZL,1976,Silver,1
1913,NZL,1984,Bronze,2
1914,NZL,1984,Gold,8
1915,NZL,1984,Silver,1
1916,NZL,1988,Bronze,8
1917,NZL,1988,Gold,3
1918,NZL,1988,Silver,2
1919,NZL,1992,Bronze,5
1920,NZL,1992,Gold,1
1921,NZL,1992,Silver,4
1922,NZL,1996,Bronze,1
1923,NZL,1996,Gold,3
1924,NZL,1996,Silver,2
1925,NZL,2000,Bronze,3
1926,NZL,2000,Gold,1
1927,NZL,2004,Gold,3
1928,NZL,2004,Silver,2
1929,NZL,2008,Bronze,4
1930,NZL,2008,Gold,3
1931,NZL,2008,Silver,2
1932,NZL,2012,Bronze,4
1933,NZL,2012,Gold,6
1934,NZL,2012,Silver,2
1935,NZL,2016,Bronze,5
1936,NZL,2016,Gold,4
1937,NZL,2016,Silver,9
1938,PAK,1956,Silver,1
1939,PAK,1960,Bronze,1
1940,PAK,1960,Gold,1
1941,PAK,1964,Silver,1
1942,PAK,1968,Gold,1
1943,PAK,1972,Silver,1
1944,PAK,1976,Bronze,1
1945,PAK,1984,Gold,1
1946,PAK,1988,Bronze,1
1947,PAK,1992,Bronze,1
1948,PAN,1948,Bronze,2
1949,PAN,2008,Gold,1
1950,PAR,2004,Silver,1
1951,PER,1948,Gold,1
1952,PER,1984,Silver,1
1953,PER,1988,Silver,1
1954,PER,1992,Silver,1
1955,PHI,1928,Bronze,1
1956,PHI,1932,Bronze,3
1957,PHI,1936,Bronze,1
1958,PHI,1964,Silver,1
1959,PHI,1996,Silver,1
1960,PHI,2016,Silver,1
1961,POL,1924,Bronze,1
1962,POL,1924,Silver,1
1963,POL,1928,Bronze,4
1964,POL,1928,Gold,2
1965,POL,1928,Silver,1
1966,POL,1932,Bronze,4
1967,POL,1932,Gold,3
1968,POL,1932,Silver,2
1969,POL,1936,Bronze,5
1970,POL,1936,Silver,4
1971,POL,1948,Bronze,1
1972,POL,1948,Gold,1
1973,POL,1952,Bronze,1
1974,POL,1952,Gold,1
1975,POL,1952,Silver,2
1976,POL,1956,Bronze,1
1977,POL,1956,Gold,1
1978,POL,1956,Silver,4
1979,POL,1960,Bronze,10
1980,POL,1960,Gold,4
1981,POL,1960,Silver,6
1982,POL,1964,Bronze,8
1983,POL,1964,Gold,7
1984,POL,1964,Silver,6
1985,POL,1968,Bronze,10
1986,POL,1968,Gold,5
1987,POL,1968,Silver,2
1988,POL,1972,Bronze,9
1989,POL,1972,Gold,7
1990,POL,1972,Silver,5
1991,POL,1976,Bronze,11
1992,POL,1976,Gold,7
1993,POL,1976,Silver,6
1994,POL,1980,Bronze,13
1995,POL,1980,Gold,3
1996,POL,1980,Silver,14
1997,POL,1988,Bronze,8
1998,POL,1988,Gold,2
1999,POL,1988,Silver,5
2000,POL,1992,Bronze,9
2001,POL,1992,Gold,3
2002,POL,1992,Silver,6
2003,POL,1996,Bronze,5
2004,POL,1996,Gold,7
2005,POL,1996,Silver,5
2006,POL,2000,Bronze,3
2007,POL,2000,Gold,6
2008,POL,2000,Silver,5
2009,POL,2004,Bronze,5
2010,POL,2004,Gold,3
2011,POL,2004,Silver,2
2012,POL,2008,Gold,3
2013,POL,2008,Silver,6
2014,POL,2012,Bronze,5
2015,POL,2012,Gold,2
2016,POL,2012,Silver,2
2017,POL,2016,Bronze,5
2018,POL,2016,Gold,2
2019,POL,2016,Silver,3
2020,POR,1924,Bronze,1
2021,POR,1928,Bronze,1
2022,POR,1936,Bronze,1
2023,POR,1948,Bronze,1
2024,POR,1948,Silver,1
2025,POR,1952,Bronze,1
2026,POR,1960,Silver,1
2027,POR,1976,Silver,2
2028,POR,1984,Bronze,2
2029,POR,1984,Gold,1
2030,POR,1988,Gold,1
2031,POR,1996,Bronze,1
2032,POR,1996,Gold,1
2033,POR,2000,Bronze,1
2034,POR,2004,Bronze,1
2035,POR,2004,Silver,2
2036,POR,2008,Gold,1
2037,POR,2008,Silver,1
2038,POR,2012,Silver,1
2039,PRK,1972,Bronze,3
2040,PRK,1972,Gold,1
2041,PRK,1972,Silver,1
2042,PRK,1976,Gold,1
2043,PRK,1976,Silver,1
2044,PRK,1980,Bronze,2
2045,PRK,1980,Silver,3
2046,PRK,1992,Bronze,2
2047,PRK,1992,Gold,4
2048,PRK,1996,Bronze,2
2049,PRK,1996,Gold,2
2050,PRK,1996,Silver,1
2051,PRK,2000,Bronze,3
2052,PRK,2000,Silver,1
2053,PRK,2004,Bronze,1
2054,PRK,2004,Silver,4
2055,PRK,2008,Bronze,1
2056,PRK,2008,Gold,2
2057,PRK,2008,Silver,1
2058,PRK,2012,Bronze,2
2059,PRK,2012,Gold,4
2060,PRK,2016,Bronze,2
2061,PRK,2016,Gold,2
2062,PRK,2016,Silver,3
2063,PUR,1948,Bronze,1
2064,PUR,1976,Bronze,1
2065,PUR,1984,Bronze,1
2066,PUR,1984,Silver,1
2067,PUR,1992,Bronze,1
2068,PUR,1996,Bronze,1
2069,PUR,2012,Bronze,1
2070,PUR,2012,Silver,1
2071,PUR,2016,Gold,1
2072,QAT,1992,Bronze,1
2073,QAT,2000,Bronze,1
2074,QAT,2012,Bronze,2
2075,QAT,2016,Silver,1
2076,ROU,1924,Bronze,1
2077,ROU,1936,Silver,1
2078,ROU,1952,Bronze,2
2079,ROU,1952,Gold,1
2080,ROU,1952,Silver,1
2081,ROU,1956,Bronze,5
2082,ROU,1956,Gold,5
2083,ROU,1956,Silver,3
2084,ROU,1960,Bronze,5
2085,ROU,1960,Gold,3
2086,ROU,1960,Silver,1
2087,ROU,1964,Bronze,6
2088,ROU,1964,Gold,2
2089,ROU,1964,Silver,4
2090,ROU,1968,Bronze,5
2091,ROU,1968,Gold,4
2092,ROU,1968,Silver,6
2093,ROU,1972,Bronze,7
2094,ROU,1972,Gold,3
2095,ROU,1972,Silver,6
2096,ROU,1976,Bronze,12
2097,ROU,1976,Gold,4
2098,ROU,1976,Silver,9
2099,ROU,1980,Bronze,10
2100,ROU,1980,Gold,6
2101,ROU,1980,Silver,6
2102,ROU,1984,Bronze,17
2103,ROU,1984,Gold,19
2104,ROU,1984,Silver,16
2105,ROU,1988,Bronze,4
2106,ROU,1988,Gold,7
2107,ROU,1988,Silver,11
2108,ROU,1992,Bronze,8
2109,ROU,1992,Gold,4
2110,ROU,1992,Silver,6
2111,ROU,1996,Bronze,6
2112,ROU,1996,Gold,4
2113,ROU,1996,Silver,7
2114,ROU,2000,Bronze,6
2115,ROU,2000,Gold,11
2116,ROU,2000,Silver,6
2117,ROU,2004,Bronze,5
2118,ROU,2004,Gold,8
2119,ROU,2004,Silver,5
2120,ROU,2008,Bronze,3
2121,ROU,2008,Gold,4
2122,ROU,2008,Silver,1
2123,ROU,2012,Bronze,2
2124,ROU,2012,Gold,2
2125,ROU,2012,Silver,5
2126,ROU,2016,Bronze,1
2127,ROU,2016,Gold,1
2128,ROU,2016,Silver,1
2129,RSA,1908,Gold,1
2130,RSA,1908,Silver,1
2131,RSA,1912,Gold,4
2132,RSA,1912,Silver,2
2133,RSA,1920,Bronze,3
2134,RSA,1920,Gold,3
2135,RSA,1920,Silver,4
2136,RSA,1924,Bronze,1
2137,RSA,1924,Gold,1
2138,RSA,1924,Silver,1
2139,RSA,1928,Bronze,2
2140,RSA,1928,Gold,1
2141,RSA,1932,Bronze,3
2142,RSA,1932,Gold,2
2143,RSA,1936,Silver,1
2144,RSA,1948,Bronze,2
2145,RSA,1948,Gold,2
2146,RSA,1948,Silver,2
2147,RSA,1952,Bronze,2
2148,RSA,1952,Gold,2
2149,RSA,1952,Silver,4
2150,RSA,1956,Bronze,3
2151,RSA,1960,Bronze,1
2152,RSA,1960,Silver,1
2153,RSA,1992,Silver,2
2154,RSA,1996,Bronze,1
2155,RSA,1996,Gold,3
2156,RSA,1996,Silver,1
2157,RSA,2000,Bronze,3
2158,RSA,2000,Silver,2
2159,RSA,2004,Bronze,2
2160,RSA,2004,Gold,1
2161,RSA,2004,Silver,3
2162,RSA,2008,Silver,1
2163,RSA,2012,Bronze,1
2164,RSA,2012,Gold,3
2165,RSA,2012,Silver,1
2166,RSA,2016,Bronze,2
2167,RSA,2016,Gold,2
2168,RSA,2016,Silver,5
2169,RUS,1908,Gold,1
2170,RUS,1908,Silver,2
2171,RUS,1912,Bronze,2
2172,RUS,1912,Silver,2
2173,RUS,1996,Bronze,12
2174,RUS,1996,Gold,26
2175,RUS,1996,Silver,21
2176,RUS,2000,Bronze,27
2177,RUS,2000,Gold,32
2178,RUS,2000,Silver,28
2179,RUS,2004,Bronze,33
2180,RUS,2004,Gold,28
2181,RUS,2004,Silver,26
2182,RUS,2008,Bronze,26
2183,RUS,2008,Gold,23
2184,RUS,2008,Silver,21
2185,RUS,2012,Bronze,27
2186,RUS,2012,Gold,24
2187,RUS,2012,Silver,26
2188,RUS,2016,Bronze,19
2189,RUS,2016,Gold,19
2190,RUS,2016,Silver,17
2191,SCG,1996,Bronze,2
2192,SCG,1996,Gold,1
2193,SCG,1996,Silver,1
2194,SCG,2000,Bronze,1
2195,SCG,2000,Gold,1
2196,SCG,2000,Silver,1
2197,SCG,2004,Silver,2
2198,SEN,1988,Silver,1
2199,SGP,1960,Silver,1
2200,SGP,2008,Silver,1
2201,SGP,2012,Bronze,2
2202,SGP,2016,Gold,1
2203,SLO,1992,Bronze,2
2204,SLO,1996,Silver,2
2205,SLO,2000,Gold,2
2206,SLO,2004,Bronze,2
2207,SLO,2004,Silver,1
2208,SLO,2008,Bronze,1
2209,SLO,2008,Gold,1
2210,SLO,2008,Silver,2
2211,SLO,2012,Bronze,2
2212,SLO,2012,Gold,1
2213,SLO,2012,Silver,1
2214,SLO,2016,Gold,1
2215,SLO,2016,Silver,2
2216,SRB,2008,Bronze,2
2217,SRB,2008,Silver,1
2218,SRB,2012,Bronze,2
2219,SRB,2012,Gold,1
2220,SRB,2012,Silver,1
2221,SRB,2016,Bronze,2
2222,SRB,2016,Gold,2
2223,SRB,2016,Silver,4
2224,SRI,1948,Silver,1
2225,SRI,2000,Silver,1
2226,SUD,2008,Silver,1
2227,SUI,1896,Gold,1
2228,SUI,1896,Silver,2
2229,SUI,1900,Bronze,1
2230,SUI,1900,Gold,6
2231,SUI,1900,Silver,1
2232,SUI,1904,Bronze,2
2233,SUI,1904,Gold,1
2234,SUI,1906,Bronze,1
2235,SUI,1906,Gold,4
2236,SUI,1906,Silver,3
2237,SUI,1912,Gold,1
2238,SUI,1920,Bronze,7
2239,SUI,1920,Gold,2
2240,SUI,1920,Silver,2
2241,SUI,1924,Bronze,10
2242,SUI,1924,Gold,7
2243,SUI,1924,Silver,8
2244,SUI,1928,Bronze,4
2245,SUI,1928,Gold,7
2246,SUI,1928,Silver,6
2247,SUI,1932,Silver,1
2248,SUI,1936,Bronze,4
2249,SUI,1936,Gold,4
2250,SUI,1936,Silver,9
2251,SUI,1948,Bronze,5
2252,SUI,1948,Gold,5
2253,SUI,1948,Silver,12
2254,SUI,1952,Bronze,6
2255,SUI,1952,Gold,2
2256,SUI,1952,Silver,5
2257,SUI,1956,Bronze,1
2258,SUI,1960,Bronze,3
2259,SUI,1960,Silver,3
2260,SUI,1964,Bronze,1
2261,SUI,1964,Gold,1
2262,SUI,1964,Silver,2
2263,SUI,1968,Bronze,4
2264,SUI,1968,Silver,1
2265,SUI,1972,Silver,3
2266,SUI,1976,Bronze,2
2267,SUI,1976,Gold,1
2268,SUI,1976,Silver,1
2269,SUI,1980,Gold,2
2270,SUI,1984,Bronze,4
2271,SUI,1984,Silver,4
2272,SUI,1988,Bronze,2
2273,SUI,1988,Silver,2
2274,SUI,1992,Gold,1
2275,SUI,1996,Gold,4
2276,SUI,1996,Silver,3
2277,SUI,2000,Bronze,2
2278,SUI,2000,Gold,1
2279,SUI,2000,Silver,6
2280,SUI,2004,Bronze,3
2281,SUI,2004,Gold,1
2282,SUI,2004,Silver,1
2283,SUI,2008,Bronze,4
2284,SUI,2008,Gold,2
2285,SUI,2008,Silver,1
2286,SUI,2012,Gold,2
2287,SUI,2012,Silver,2
2288,SUI,2016,Bronze,2
2289,SUI,2016,Gold,3
2290,SUI,2016,Silver,2
2291,SUR,1988,Gold,1
2292,SUR,1992,Bronze,1
2293,SVK,1996,Bronze,1
2294,SVK,1996,Gold,1
2295,SVK,1996,Silver,1
2296,SVK,2000,Bronze,1
2297,SVK,2000,Gold,1
2298,SVK,2000,Silver,3
2299,SVK,2004,Bronze,2
2300,SVK,2004,Gold,2
2301,SVK,2004,Silver,2
2302,SVK,2008,Bronze,1
2303,SVK,2008,Gold,3
2304,SVK,2008,Silver,2
2305,SVK,2012,Bronze,3
2306,SVK,2012,Silver,1
2307,SVK,2016,Gold,2
2308,SVK,2016,Silver,2
2309,SWE,1900,Bronze,1
2310,SWE,1906,Bronze,7
2311,SWE,1906,Gold,2
2312,SWE,1906,Silver,5
2313,SWE,1908,Bronze,10
2314,SWE,1908,Gold,8
2315,SWE,1908,Silver,6
2316,SWE,1912,Bronze,16
2317,SWE,1912,Gold,23
2318,SWE,1912,Silver,24
2319,SWE,1920,Bronze,24
2320,SWE,1920,Gold,19
2321,SWE,1920,Silver,20
2322,SWE,1924,Bronze,12
2323,SWE,1924,Gold,4
2324,SWE,1924,Silver,13
2325,SWE,1928,Bronze,12
2326,SWE,1928,Gold,7
2327,SWE,1928,Silver,6
2328,SWE,1932,Bronze,9
2329,SWE,1932,Gold,10
2330,SWE,1932,Silver,5
2331,SWE,1936,Bronze,10
2332,SWE,1936,Gold,6
2333,SWE,1936,Silver,5
2334,SWE,1948,Bronze,18
2335,SWE,1948,Gold,17
2336,SWE,1948,Silver,11
2337,SWE,1952,Bronze,9
2338,SWE,1952,Gold,12
2339,SWE,1952,Silver,13
2340,SWE,1956,Bronze,6
2341,SWE,1956,Gold,8
2342,SWE,1956,Silver,4
2343,SWE,1960,Bronze,3
2344,SWE,1960,Gold,1
2345,SWE,1960,Silver,2
2346,SWE,1964,Bronze,4
2347,SWE,1964,Gold,2
2348,SWE,1964,Silver,2
2349,SWE,1968,Bronze,1
2350,SWE,1968,Gold,2
2351,SWE,1968,Silver,1
2352,SWE,1972,Bronze,5
2353,SWE,1972,Gold,4
2354,SWE,1972,Silver,4
2355,SWE,1976,Gold,4
2356,SWE,1976,Silver,1
2357,SWE,1980,Bronze,6
2358,SWE,1980,Gold,3
2359,SWE,1980,Silver,3
2360,SWE,1984,Bronze,6
2361,SWE,1984,Gold,2
2362,SWE,1984,Silver,11
2363,SWE,1988,Bronze,5
2364,SWE,1988,Silver,4
2365,SWE,1992,Bronze,4
2366,SWE,1992,Gold,1
2367,SWE,1992,Silver,7
2368,SWE,1996,Bronze,2
2369,SWE,1996,Gold,2
2370,SWE,1996,Silver,4
2371,SWE,2000,Bronze,3
2372,SWE,2000,Gold,4
2373,SWE,2000,Silver,5
2374,SWE,2004,Bronze,1
2375,SWE,2004,Gold,4
2376,SWE,2004,Silver,2
2377,SWE,2008,Bronze,1
2378,SWE,2008,Silver,4
2379,SWE,2012,Bronze,2
2380,SWE,2012,Gold,1
2381,SWE,2012,Silver,4
2382,SWE,2016,Bronze,3
2383,SWE,2016,Gold,2
2384,SWE,2016,Silver,6
2385,SYR,1984,Silver,1
2386,SYR,1996,Gold,1
2387,SYR,2004,Bronze,1
2388,TAN,1980,Silver,2
2389,TCH,1920,Bronze,2
2390,TCH,1924,Bronze,4
2391,TCH,1924,Gold,1
2392,TCH,1924,Silver,4
2393,TCH,1928,Bronze,2
2394,TCH,1928,Gold,2
2395,TCH,1928,Silver,5
2396,TCH,1932,Bronze,2
2397,TCH,1932,Gold,1
2398,TCH,1932,Silver,3
2399,TCH,1936,Bronze,1
2400,TCH,1936,Gold,3
2401,TCH,1936,Silver,5
2402,TCH,1948,Bronze,2
2403,TCH,1948,Gold,6
2404,TCH,1948,Silver,2
2405,TCH,1952,Bronze,3
2406,TCH,1952,Gold,7
2407,TCH,1952,Silver,3
2408,TCH,1956,Bronze,1
2409,TCH,1956,Gold,1
2410,TCH,1956,Silver,4
2411,TCH,1960,Bronze,3
2412,TCH,1960,Gold,3
2413,TCH,1960,Silver,2
2414,TCH,1964,Bronze,3
2415,TCH,1964,Gold,5
2416,TCH,1964,Silver,6
2417,TCH,1968,Bronze,4
2418,TCH,1968,Gold,7
2419,TCH,1968,Silver,2
2420,TCH,1972,Bronze,2
2421,TCH,1972,Gold,2
2422,TCH,1972,Silver,4
2423,TCH,1976,Bronze,4
2424,TCH,1976,Gold,2
2425,TCH,1976,Silver,2
2426,TCH,1980,Bronze,9
2427,TCH,1980,Gold,2
2428,TCH,1980,Silver,3
2429,TCH,1988,Bronze,1
2430,TCH,1988,Gold,3
2431,TCH,1988,Silver,3
2432,TCH,1992,Bronze,1
2433,TCH,1992,Gold,4
2434,TCH,1992,Silver,2
2435,TGA,1996,Silver,1
2436,THA,1984,Silver,1
2437,THA,1996,Bronze,1
2438,THA,1996,Gold,1
2439,THA,2000,Bronze,1
2440,THA,2000,Gold,1
2441,THA,2004,Bronze,3
2442,THA,2004,Gold,3
2443,THA,2004,Silver,1
2444,THA,2008,Gold,2
2445,THA,2008,Silver,2
2446,THA,2012,Bronze,1
2447,THA,2012,Silver,2
2448,THA,2016,Bronze,1
2449,THA,2016,Gold,2
2450,THA,2016,Silver,2
2451,TJK,2008,Bronze,1
2452,TJK,2008,Silver,1
2453,TJK,2016,Gold,1
2454,TOG,2008,Bronze,1
2455,TPE,1960,Silver,1
2456,TPE,1968,Bronze,1
2457,TPE,1984,Bronze,1
2458,TPE,1992,Silver,1
2459,TPE,1996,Silver,1
2460,TPE,2000,Bronze,4
2461,TPE,2000,Silver,1
2462,TPE,2004,Bronze,1
2463,TPE,2004,Gold,2
2464,TPE,2004,Silver,2
2465,TPE,2008,Bronze,4
2466,TPE,2012,Silver,1
2467,TPE,2016,Bronze,2
2468,TPE,2016,Gold,1
2469,TTO,1948,Silver,1
2470,TTO,1952,Bronze,2
2471,TTO,1964,Bronze,2
2472,TTO,1964,Silver,1
2473,TTO,1976,Gold,1
2474,TTO,1996,Bronze,2
2475,TTO,2000,Bronze,1
2476,TTO,2000,Silver,1
2477,TTO,2004,Bronze,1
2478,TTO,2008,Gold,1
2479,TTO,2008,Silver,1
2480,TTO,2012,Bronze,2
2481,TTO,2012,Gold,1
2482,TTO,2012,Silver,1
2483,TTO,2016,Bronze,1
2484,TUN,1964,Silver,1
2485,TUN,1968,Bronze,1
2486,TUN,1968,Gold,1
2487,TUN,1972,Silver,1
2488,TUN,1996,Bronze,1
2489,TUN,2008,Gold,1
2490,TUN,2012,Bronze,1
2491,TUN,2012,Gold,1
2492,TUN,2012,Silver,1
2493,TUN,2016,Bronze,2
2494,TUR,1936,Bronze,1
2495,TUR,1936,Gold,1
2496,TUR,1948,Bronze,2
2497,TUR,1948,Gold,6
2498,TUR,1948,Silver,4
2499,TUR,1952,Bronze,1
2500,TUR,1952,Gold,2
2501,TUR,1956,Bronze,2
2502,TUR,1956,Gold,3
2503,TUR,1956,Silver,2
2504,TUR,1960,Gold,7
2505,TUR,1960,Silver,2
2506,TUR,1964,Bronze,1
2507,TUR,1964,Gold,2
2508,TUR,1964,Silver,3
2509,TUR,1968,Gold,2
2510,TUR,1972,Silver,1
2511,TUR,1984,Bronze,2
2512,TUR,1988,Gold,1
2513,TUR,1988,Silver,1
2514,TUR,1992,Bronze,1
2515,TUR,1992,Gold,2
2516,TUR,1992,Silver,2
2517,TUR,1996,Bronze,1
2518,TUR,1996,Gold,4
2519,TUR,1996,Silver,1
2520,TUR,2000,Bronze,2
2521,TUR,2000,Gold,3
2522,TUR,2004,Bronze,5
2523,TUR,2004,Gold,3
2524,TUR,2004,Silver,3
2525,TUR,2008,Bronze,1
2526,TUR,2008,Gold,1
2527,TUR,2008,Silver,3
2528,TUR,2012,Gold,2
2529,TUR,2012,Silver,2
2530,TUR,2016,Bronze,3
2531,TUR,2016,Gold,1
2532,TUR,2016,Silver,3
2533,UAE,2004,Gold,1
2534,UAR,1960,Bronze,1
2535,UAR,1960,Silver,1
2536,UGA,1968,Silver,1
2537,UGA,1972,Gold,1
2538,UGA,1972,Silver,1
2539,UGA,1980,Silver,1
2540,UGA,1996,Bronze,1
2541,UGA,2012,Gold,1
2542,UKR,1996,Bronze,12
2543,UKR,1996,Gold,9
2544,UKR,1996,Silver,2
2545,UKR,2000,Bronze,9
2546,UKR,2000,Gold,3
2547,UKR,2000,Silver,10
2548,UKR,2004,Bronze,9
2549,UKR,2004,Gold,8
2550,UKR,2004,Silver,5
2551,UKR,2008,Bronze,13
2552,UKR,2008,Gold,7
2553,UKR,2008,Silver,5
2554,UKR,2012,Bronze,8
2555,UKR,2012,Gold,6
2556,UKR,2012,Silver,5
2557,UKR,2016,Bronze,4
2558,UKR,2016,Gold,2
2559,UKR,2016,Silver,5
2560,URS,1952,Bronze,16
2561,URS,1952,Gold,22
2562,URS,1952,Silver,29
2563,URS,1956,Bronze,29
2564,URS,1956,Gold,35
2565,URS,1956,Silver,26
2566,URS,1960,Bronze,30
2567,URS,1960,Gold,41
2568,URS,1960,Silver,29
2569,URS,1964,Bronze,31
2570,URS,1964,Gold,30
2571,URS,1964,Silver,29
2572,URS,1968,Bronze,29
2573,URS,1968,Gold,27
2574,URS,1968,Silver,32
2575,URS,1972,Bronze,20
2576,URS,1972,Gold,49
2577,URS,1972,Silver,27
2578,URS,1976,Bronze,31
2579,URS,1976,Gold,49
2580,URS,1976,Silver,40
2581,URS,1980,Bronze,43
2582,URS,1980,Gold,79
2583,URS,1980,Silver,68
2584,URS,1988,Bronze,41
2585,URS,1988,Gold,53
2586,URS,1988,Silver,31
2587,URU,1924,Gold,1
2588,URU,1928,Gold,1
2589,URU,1932,Bronze,1
2590,URU,1948,Bronze,1
2591,URU,1948,Silver,1
2592,URU,1952,Bronze,2
2593,URU,1956,Bronze,1
2594,URU,2000,Silver,1
2595,USA,1896,Bronze,2
2596,USA,1896,Gold,11
2597,USA,1896,Silver,6
2598,USA,1900,Bronze,14
2599,USA,1900,Gold,19
2600,USA,1900,Silver,15
2601,USA,1904,Bronze,75
2602,USA,1904,Gold,75
2603,USA,1904,Silver,78
2604,USA,1906,Bronze,5
2605,USA,1906,Gold,12
2606,USA,1906,Silver,4
2607,USA,1908,Bronze,11
2608,USA,1908,Gold,22
2609,USA,1908,Silver,12
2610,USA,1912,Bronze,18
2611,USA,1912,Gold,25
2612,USA,1912,Silver,18
2613,USA,1920,Bronze,27
2614,USA,1920,Gold,41
2615,USA,1920,Silver,27
2616,USA,1924,Bronze,27
2617,USA,1924,Gold,45
2618,USA,1924,Silver,27
2619,USA,1928,Bronze,16
2620,USA,1928,Gold,22
2621,USA,1928,Silver,18
2622,USA,1932,Bronze,30
