,NOC,Year,Medal,Number of Medals
411,CAN,1948,Bronze,2
412,CAN,1948,Silver,2
413,CAN,1952,Gold,1
414,CAN,1952,Silver,2
415,CAN,1956,Bronze,3
416,CAN,1956,Gold,2
417,CAN,1956,Silver,1
418,CAN,1960,Silver,1
419,CAN,1964,Bronze,1
420,CAN,1964,Gold,1
421,CAN,1964,Silver,2
422,CAN,1968,Bronze,1
423,CAN,1968,Gold,1
424,CAN,1968,Silver,3
425,CAN,1972,Bronze,2
426,CAN,1972,Silver,2
427,CAN,1976,Bronze,6
428,CAN,1976,Silver,5
429,CAN,1984,Bronze,15
430,CAN,1984,Gold,10
431,CAN,1984,Silver,18
432,CAN,1988,Bronze,5
433,CAN,1988,Gold,3
434,CAN,1988,Silver,2
435,CAN,1992,Bronze,7
436,CAN,1992,Gold,6
437,CAN,1992,Silver,4
438,CAN,1996,Bronze,8
439,CAN,1996,Gold,3
440,CAN,1996,Silver,11
441,CAN,2000,Bronze,8
442,CAN,2000,Gold,3
443,CAN,2000,Silver,3
444,CAN,2004,Bronze,3
445,CAN,2004,Gold,3
446,CAN,2004,Silver,6
447,CAN,2008,Bronze,6
448,CAN,2008,Gold,3
449,CAN,2008,Silver,9
450,CAN,2012,Bronze,9
451,CAN,2012,Gold,1
452,CAN,2012,Silver,5
453,CAN,2016,Bronze,14
454,CAN,2016,Gold,3
455,CAN,2016,Silver,3
456,CHI,1928,Silver,1
457,CHI,1952,Silver,2
458,CHI,1956,Bronze,2
459,CHI,1956,Silver,2
460,CHI,1988,Silver,1
461,CHI,2000,Bronze,1
462,CHI,2004,Bronze,1
463,CHI,2004,Gold,2
464,CHI,2008,Silver,1
465,CHN,1984,Bronze,9
466,CHN,1984,Gold,14
467,CHN,1984,Silver,7
468,CHN,1988,Bronze,11
469,CHN,1988,Gold,5
470,CHN,1988,Silver,11
471,CHN,1992,Bronze,12
472,CHN,1992,Gold,16
473,CHN,1992,Silver,22
474,CHN,1996,Bronze,12
475,CHN,1996,Gold,16
476,CHN,1996,Silver,22
477,CHN,2000,Bronze,13
478,CHN,2000,Gold,28
479,CHN,2000,Silver,16
480,CHN,2004,Bronze,11
481,CHN,2004,Gold,32
482,CHN,2004,Silver,17
483,CHN,2008,Bronze,26
484,CHN,2008,Gold,51
485,CHN,2008,Silver,21
486,CHN,2012,Bronze,21
487,CHN,2012,Gold,38
488,CHN,2012,Silver,26
489,CHN,2016,Bronze,23
490,CHN,2016,Gold,26
491,CHN,2016,Silver,18
492,CIV,1984,Silver,1
493,CIV,2016,Bronze,1
494,CIV,2016,Gold,1
495,CMR,1968,Silver,1
496,CMR,2000,Gold,1
497,CMR,2004,Gold,1
498,CMR,2008,Gold,1
499,COL,1972,Silver,1
500,COL,1984,Silver,1
501,COL,1988,Bronze,1
502,COL,1992,Bronze,1
503,COL,2000,Gold,1
504,COL,2004,Bronze,2
505,COL,2008,Bronze,1
506,COL,2008,Silver,1
507,COL,2012,Bronze,2
508,COL,2012,Gold,1
509,COL,2012,Silver,3
510,COL,2016,Bronze,2
511,COL,2016,Gold,3
512,COL,2016,Silver,2
513,CRC,1988,Silver,1
514,CRC,1996,Gold,1
515,CRC,2000,Bronze,2
516,CRO,1992,Silver,1
517,CRO,1996,Gold,1
518,CRO,1996,Silver,1
519,CRO,2000,Bronze,1
520,CRO,2000,Gold,1
521,CRO,2004,Bronze,2
522,CRO,2004,Gold,1
523,CRO,2004,Silver,2
524,CRO,2008,Bronze,1
525,CRO,2008,Silver,2
526,CRO,2012,Bronze,1
527,CRO,2012,Gold,3
528,CRO,2012,Silver,1
529,CRO,2016,Bronze,1
530,CRO,2016,Gold,5
531,CRO,2016,Silver,3
532,CUB,1900,Gold,1
533,CUB,1900,Silver,1
534,CUB,1904,Gold,4
535,CUB,1964,Silver,1
536,CUB,1968,Silver,4
537,CUB,1972,Bronze,3
538,CUB,1972,Gold,3
539,CUB,1972,Silver,1
540,CUB,1976,Bronze,3
541,CUB,1976,Gold,6
542,CUB,1976,Silver,4
543,CUB,1980,Bronze,4
544,CUB,1980,Gold,8
545,CUB,1980,Silver,7
546,CUB,1992,Bronze,11
547,CUB,1992,Gold,14
548,CUB,1992,Silver,6
549,CUB,1996,Bronze,6
550,CUB,1996,Gold,9
551,CUB,1996,Silver,8
552,CUB,2000,Bronze,5
553,CUB,2000,Gold,11
554,CUB,2000,Silver,11
555,CUB,2004,Bronze,8
556,CUB,2004,Gold,9
557,CUB,2004,Silver,7
558,CUB,2008,Bronze,8
559,CUB,2008,Gold,2
560,CUB,2008,Silver,11
561,CUB,2012,Bronze,5
562,CUB,2012,Gold,5
563,CUB,2012,Silver,3
564,CUB,2016,Bronze,4
565,CUB,2016,Gold,5
566,CUB,2016,Silver,2
567,CYP,2012,Silver,1
568,CZE,1996,Bronze,4
569,CZE,1996,Gold,4
570,CZE,1996,Silver,3
571,CZE,2000,Bronze,3
