,NOC,Year,Event,Bronze,Gold,Silver,Total
256,AUS,1972,Swimming Women's 200 metres Individual Medley,0.0,1.0,0.0,1.0
257,AUS,1972,Swimming Women's 400 metres Freestyle,0.0,1.0,0.0,1.0
258,AUS,1972,Swimming Women's 400 metres Individual Medley,0.0,1.0,0.0,1.0
259,AUS,1972,Swimming Women's 800 metres Freestyle,0.0,0.0,1.0,1.0
260,AUS,1976,"Equestrianism Mixed Three-Day Event, Team",1.0,0.0,0.0,1.0
261,AUS,1976,Hockey Men's Hockey,0.0,0.0,1.0,1.0
262,AUS,1976,Sailing Mixed One Person Dinghy,1.0,0.0,0.0,1.0
263,AUS,1976,Sailing Mixed Two Person Dinghy,1.0,0.0,0.0,1.0
264,AUS,1976,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
265,AUS,1980,Athletics Men's 400 metres,0.0,0.0,1.0,1.0
266,AUS,1980,"Canoeing Men's Kayak Singles, 500 metres",0.0,0.0,1.0,1.0
267,AUS,1980,"Swimming Men's 1,500 metres Freestyle",1.0,0.0,0.0,1.0
268,AUS,1980,Swimming Men's 100 metres Breaststroke,1.0,0.0,0.0,1.0
269,AUS,1980,Swimming Men's 200 metres Backstroke,1.0,0.0,0.0,1.0
270,AUS,1980,Swimming Men's 200 metres Freestyle,1.0,0.0,0.0,1.0
271,AUS,1980,Swimming Men's 4 x 100 metres Medley Relay,0.0,1.0,0.0,1.0
272,AUS,1980,Swimming Women's 200 metres Butterfly,1.0,0.0,0.0,1.0
273,AUS,1980,Swimming Women's 800 metres Freestyle,0.0,1.0,0.0,1.0
274,AUS,1984,Athletics Men's Long Jump,0.0,0.0,1.0,1.0
275,AUS,1984,Athletics Women's Heptathlon,0.0,1.0,0.0,1.0
276,AUS,1984,Athletics Women's Shot Put,1.0,0.0,0.0,1.0
277,AUS,1984,"Canoeing Men's Kayak Doubles, 1,000 metres",1.0,0.0,0.0,1.0
278,AUS,1984,"Cycling Men's Team Pursuit, 4,000 metres",0.0,1.0,0.0,1.0
279,AUS,1984,Rowing Men's Coxed Eights,1.0,0.0,0.0,1.0
280,AUS,1984,Rowing Men's Quadruple Sculls,0.0,0.0,1.0,1.0
281,AUS,1984,Rowing Women's Coxed Fours,1.0,0.0,0.0,1.0
282,AUS,1984,Sailing Mixed Multihull,1.0,0.0,0.0,1.0
283,AUS,1984,"Shooting Women's Sporting Pistol, 25 metres",1.0,0.0,0.0,1.0
284,AUS,1984,Swimming Men's 100 metres Breaststroke,1.0,0.0,0.0,1.0
285,AUS,1984,Swimming Men's 100 metres Butterfly,1.0,0.0,0.0,1.0
286,AUS,1984,Swimming Men's 100 metres Freestyle,0.0,0.0,1.0,1.0
287,AUS,1984,Swimming Men's 200 metres Breaststroke,0.0,0.0,1.0,1.0
288,AUS,1984,Swimming Men's 200 metres Butterfly,0.0,1.0,0.0,1.0
289,AUS,1984,Swimming Men's 4 x 100 metres Freestyle Relay,0.0,0.0,1.0,1.0
290,AUS,1984,Swimming Men's 4 x 100 metres Medley Relay,1.0,0.0,0.0,1.0
291,AUS,1984,Swimming Men's 400 metres Freestyle,1.0,0.0,0.0,1.0
292,AUS,1984,Swimming Men's 400 metres Individual Medley,1.0,0.0,0.0,1.0
293,AUS,1984,Swimming Women's 200 metres Butterfly,0.0,0.0,1.0,1.0
294,AUS,1984,Swimming Women's 200 metres Individual Medley,1.0,0.0,0.0,1.0
295,AUS,1984,Swimming Women's 400 metres Individual Medley,0.0,0.0,1.0,1.0
296,AUS,1984,Weightlifting Men's Light-Heavyweight,0.0,0.0,1.0,1.0
297,AUS,1984,Weightlifting Men's Super-Heavyweight,0.0,1.0,0.0,1.0
298,AUS,1988,Athletics Women's 400 metres Hurdles,0.0,1.0,0.0,1.0
299,AUS,1988,Athletics Women's Marathon,0.0,0.0,1.0,1.0
300,AUS,1988,Boxing Men's Light-Welterweight,0.0,0.0,1.0,1.0
301,AUS,1988,"Canoeing Men's Kayak Doubles, 1,000 metres",1.0,0.0,0.0,1.0
302,AUS,1988,"Canoeing Men's Kayak Singles, 1,000 metres",0.0,0.0,1.0,1.0
303,AUS,1988,"Cycling Men's 1,000 metres Time Trial",0.0,0.0,1.0,1.0
304,AUS,1988,"Cycling Men's Individual Pursuit, 4,000 metres",0.0,0.0,1.0,1.0
305,AUS,1988,Cycling Men's Sprint,1.0,0.0,0.0,1.0
306,AUS,1988,"Cycling Men's Team Pursuit, 4,000 metres",1.0,0.0,0.0,1.0
307,AUS,1988,Hockey Women's Hockey,0.0,1.0,0.0,1.0
308,AUS,1988,Swimming Men's 200 metres Freestyle,0.0,1.0,0.0,1.0
309,AUS,1988,Swimming Men's 400 metres Freestyle,0.0,0.0,1.0,1.0
310,AUS,1988,Swimming Women's 800 metres Freestyle,1.0,0.0,0.0,1.0
311,AUS,1992,Athletics Women's Discus Throw,1.0,0.0,0.0,1.0
312,AUS,1992,"Canoeing Men's Kayak Fours, 1,000 metres",1.0,0.0,0.0,1.0
313,AUS,1992,"Canoeing Men's Kayak Singles, 1,000 metres",0.0,1.0,0.0,1.0
314,AUS,1992,"Canoeing Women's Kayak Singles, Slalom",0.0,0.0,1.0,1.0
315,AUS,1992,"Cycling Men's 1,000 metres Time Trial",0.0,0.0,1.0,1.0
316,AUS,1992,Cycling Men's Sprint,0.0,0.0,1.0,1.0
317,AUS,1992,"Cycling Men's Team Pursuit, 4,000 metres",0.0,0.0,1.0,1.0
318,AUS,1992,"Cycling Women's Individual Pursuit, 3,000 metres",0.0,0.0,1.0,1.0
319,AUS,1992,"Cycling Women's Road Race, Individual",0.0,1.0,0.0,1.0
320,AUS,1992,"Equestrianism Mixed Three-Day Event, Individual",0.0,1.0,0.0,1.0
321,AUS,1992,"Equestrianism Mixed Three-Day Event, Team",0.0,1.0,0.0,1.0
322,AUS,1992,Hockey Men's Hockey,0.0,0.0,1.0,1.0
323,AUS,1992,Rowing Men's Coxless Fours,0.0,1.0,0.0,1.0
324,AUS,1992,Rowing Men's Double Sculls,0.0,1.0,0.0,1.0
325,AUS,1992,Sailing Men's Windsurfer,1.0,0.0,0.0,1.0
326,AUS,1992,Sailing Mixed Multihull,1.0,0.0,0.0,1.0
327,AUS,1992,"Swimming Men's 1,500 metres Freestyle",0.0,1.0,1.0,2.0
328,AUS,1992,Swimming Men's 100 metres Breaststroke,1.0,0.0,0.0,1.0
329,AUS,1992,Swimming Men's 400 metres Freestyle,0.0,0.0,1.0,1.0
330,AUS,1992,Swimming Women's 100 metres Breaststroke,1.0,0.0,0.0,1.0
331,AUS,1992,Swimming Women's 200 metres Backstroke,1.0,0.0,0.0,1.0
332,AUS,1992,Swimming Women's 200 metres Butterfly,1.0,0.0,0.0,1.0
333,AUS,1992,Swimming Women's 400 metres Freestyle,1.0,0.0,0.0,1.0
334,AUS,1992,Swimming Women's 800 metres Freestyle,0.0,0.0,1.0,1.0
335,AUS,1992,Tennis Women's Doubles,1.0,0.0,0.0,1.0
336,AUS,1996,Athletics Women's 400 metres,0.0,0.0,1.0,1.0
337,AUS,1996,Athletics Women's Javelin Throw,0.0,0.0,1.0,1.0
338,AUS,1996,Basketball Women's Basketball,1.0,0.0,0.0,1.0
339,AUS,1996,Beach Volleyball Women's Beach Volleyball,1.0,0.0,0.0,1.0
340,AUS,1996,"Canoeing Men's Kayak Doubles, 500 metres",1.0,0.0,0.0,1.0
341,AUS,1996,"Canoeing Men's Kayak Singles, 1,000 metres",1.0,0.0,0.0,1.0
342,AUS,1996,"Canoeing Women's Kayak Doubles, 500 metres",1.0,0.0,0.0,1.0
343,AUS,1996,"Cycling Men's Individual Pursuit, 4,000 metres",1.0,0.0,0.0,1.0
344,AUS,1996,Cycling Men's Points Race,1.0,0.0,0.0,1.0
345,AUS,1996,"Cycling Men's Team Pursuit, 4,000 metres",1.0,0.0,0.0,1.0
