,ID,Team,NOC,Year,Event,Medal
18957,10034,Netherlands,NED,1908,Water Polo Men's Water Polo,
18961,10037,Czechoslovakia,TCH,1972,Handball Men's Handball,Silver
18992,10048,Canada,CAN,2008,Diving Women's Synchronized Platform,
18994,10048,Canada,CAN,2012,Diving Women's Synchronized Platform,Bronze
18995,10048,Canada,CAN,2016,Diving Women's Platform,Bronze
18996,10048,Canada,CAN,2016,Diving Women's Synchronized Platform,Bronze
18997,10049,Italy,ITA,1948,"Cycling Men's Team Pursuit, 4,000 metres",Silver
19015,10062,Sweden,SWE,1988,Sailing Women's Two Person Dinghy,Silver
19034,10072,Kullan,SWE,1920,Sailing Mixed 30 metres,Gold
19041,10077,Sweden,SWE,1980,Sailing Mixed Two Person Dinghy,
19045,10079,Sweden,SWE,1996,Badminton Women's Doubles,
19048,10082,Sweden,SWE,1952,Athletics Men's Javelin Throw,
19054,10084,Sweden,SWE,1984,"Canoeing Men's Kayak Doubles, 500 metres",Silver
19055,10084,Sweden,SWE,1984,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
19056,10084,Sweden,SWE,1988,"Canoeing Men's Kayak Doubles, 500 metres",
19062,10085,Sweden,SWE,2008,"Equestrianism Mixed Jumping, Individual",Silver
19085,10098,Morocco,MAR,2004,Athletics Women's 800 metres,Silver
19087,10098,Morocco,MAR,2008,Athletics Women's 800 metres,Bronze
19093,10103,Cote d'Ivoire,CIV,2012,"Wrestling Women's Flyweight, Freestyle",
19094,10104,Poland,POL,1976,Football Men's Football,Silver
19096,10105,Algeria,ALG,2008,Judo Men's Middleweight,Silver
19109,10115,Spain,ESP,2000,Taekwondo Women's Welterweight,
19126,10128,United States,USA,1984,Sailing Mixed Two Person Dinghy,Silver
19151,10136,United States,USA,2004,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
19152,10136,United States,USA,2004,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
19154,10137,Hungary,HUN,1932,"Fencing Men's epee, Individual",
19160,10140,Canada,CAN,2016,Rugby Sevens Women's Rugby Sevens,Bronze
19172,10148,Netherlands,NED,1992,Volleyball Men's Volleyball,Silver
19175,10149,United States,USA,1952,"Shooting Men's Free Pistol, 50 metres",Gold
19176,10149,United States,USA,1956,"Shooting Men's Free Pistol, 50 metres",
19179,10151,France-2,FRA,2012,Tennis Men's Doubles,Bronze
19185,10156,United States,USA,1920,Athletics Men's Hammer Throw,Bronze
19186,10157,United States,USA,1960,Swimming Men's 100 metres Backstroke,Bronze
19187,10157,United States,USA,1960,Swimming Men's 4 x 100 metres Medley Relay,Gold
19188,10157,United States,USA,1964,Swimming Men's 200 metres Backstroke,Bronze
19189,10157,United States,USA,1964,Swimming Men's 4 x 100 metres Medley Relay,Gold
19190,10158,United States,USA,1948,Athletics Men's Hammer Throw,Bronze
19192,10160,United States,USA,1996,Swimming Women's 800 metres Freestyle,Gold
19193,10160,United States,USA,2000,Swimming Women's 400 metres Freestyle,Gold
19194,10160,United States,USA,2000,Swimming Women's 800 metres Freestyle,Gold
19195,10161,Great Britain,GBR,1900,"Athletics Men's 1,500 metres",Gold
19196,10161,Great Britain,GBR,1900,"Athletics Men's 4,000 metres Steeplechase",Silver
19197,10161,Amateur Athletic Association,GBR,1900,"Athletics Men's 5,000 metres, Team",Gold
19199,10163,Canada,CAN,1948,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
19200,10163,Canada,CAN,1948,"Canoeing Men's Canadian Doubles, 1,000 metres",
19208,10171,United States,USA,1956,Athletics Men's Long Jump,Silver
19213,10173,Great Britain,GBR,2016,Rowing Women's Coxed Eights,Silver
19218,10177,Great Britain,GBR,2016,Rugby Sevens Men's Rugby Sevens,Silver
19220,10178,Australia,AUS,1976,"Equestrianism Mixed Three-Day Event, Team",Bronze
19224,10180,Great Britain,GBR,1972,"Cycling Men's 1,000 metres Time Trial",
19225,10180,Great Britain,GBR,1972,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
19227,10181,Great Britain,GBR,2016,Rowing Men's Coxed Eights,Gold
19248,10191,New Zealand,NZL,1988,"Equestrianism Mixed Three-Day Event, Team",Bronze
19249,10192,Great Britain,GBR,1984,"Athletics Women's 1,500 metres",
19251,10194,Netherlands,NED,1984,Hockey Women's Hockey,Gold
19254,10195,Netherlands,NED,1988,Hockey Men's Hockey,Bronze
19260,10198,United States,USA,1984,Athletics Women's Marathon,Gold
19263,10201,France,FRA,1900,Rowing Men's Single Sculls,
19274,10206,Uruguay,URU,1936,Rowing Men's Coxless Pairs,
19276,10208,Belgium,BEL,1972,"Wrestling Men's Welterweight, Greco-Roman",
19284,10213,France,FRA,1984,Swimming Women's 200 metres Freestyle,
19287,10213,France,FRA,1984,Swimming Women's 200 metres Individual Medley,
19289,10214,United States,USA,1988,"Shooting Men's Running Target, 50 metres",
19291,10216,Canada,CAN,1920,Ice Hockey Men's Ice Hockey,Gold
19318,10230,Cuba,CUB,1996,Swimming Men's 100 metres Backstroke,Bronze
19324,10232,Great Britain,GBR,1984,"Cycling Men's Individual Pursuit, 4,000 metres",
19326,10233,Algeria,ALG,2008,"Fencing Women's epee, Individual",
19336,10239,Great Britain,GBR,1912,Water Polo Men's Water Polo,Gold
19340,10243,Great Britain,GBR,2012,"Fencing Women's Foil, Individual",
19341,10243,Great Britain,GBR,2012,"Fencing Women's Foil, Team",
19362,10256,Widgeon,USA,1964,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
19364,10257,United States,USA,2016,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19366,10259,Slovakia,SVK,2016,"Canoeing Men's Canadian Singles, Slalom",Silver
19371,10262,Italy,ITA,1960,Boxing Men's Welterweight,Gold
19406,10273,Germany,GER,2008,"Canoeing Men's Canadian Singles, Slalom",
19434,10281,Czechoslovakia,TCH,1920,"Wrestling Men's Featherweight, Greco-Roman",
19440,10285,Czechoslovakia,TCH,1992,Rowing Women's Coxed Eights,
19443,10287,France,FRA,1900,Cycling Men's Points Race,
19444,10287,France,FRA,1900,Cycling Men's 25 kilometres,
19464,10298,Bulgaria,BUL,1988,Rowing Women's Coxless Pairs,Silver
19474,10303,Romania,ROU,1972,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
19475,10303,Romania,ROU,1976,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
19477,10304,Inca,BRA,1956,Sailing Mixed Two Person Heavyweight Dinghy,
19501,10310,Hungary,HUN,1936,"Fencing Men's Sabre, Team",Gold
19503,10310,Hungary,HUN,1948,"Fencing Men's Sabre, Team",Gold
19504,10310,Hungary,HUN,1952,"Fencing Men's Foil, Team",Bronze
19505,10310,Hungary,HUN,1952,"Fencing Men's Sabre, Individual",Bronze
19506,10310,Hungary,HUN,1952,"Fencing Men's Sabre, Team",Gold
19555,10326,Hungary,HUN,2016,Sailing Men's One Person Heavyweight Dinghy,
19564,10329,Turkey,TUR,2000,"Wrestling Men's Middleweight, Freestyle",Bronze
19569,10331,East Germany,GDR,1976,Athletics Women's 100 metres Hurdles,
19574,10334,West Germany,FRG,1968,Athletics Women's Discus Throw,
19575,10334,West Germany,FRG,1972,Athletics Women's Discus Throw,
19578,10337,United States,USA,2008,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19581,10337,United States,USA,2012,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19586,10341,Romania,ROU,2016,Rowing Women's Coxless Pairs,
19587,10341,Romania,ROU,2016,Rowing Women's Coxed Eights,Bronze
19590,10342,Canada-2,CAN,2004,Badminton Mixed Doubles,
19595,10345,Great Britain,GBR,1920,Rowing Men's Single Sculls,Silver
19596,10345,Great Britain,GBR,1924,Rowing Men's Single Sculls,Gold
19599,10345,Great Britain,GBR,1936,Rowing Men's Double Sculls,Gold
19600,10346,Foxhunters Hurlingham,GBR,1900,Polo Men's Polo,Gold
19601,10347,Thames Rowing Club,GBR,1912,"Rowing Men's Coxed Fours, Outriggers",Silver
19603,10349,Ukraine,UKR,2000,Gymnastics Men's Individual All-Around,Bronze
19604,10349,Ukraine,UKR,2000,Gymnastics Men's Team All-Around,Silver
19613,10350,Ukraine,UKR,2004,Swimming Women's 800 metres Freestyle,
19617,10352,Russia,RUS,2004,Weightlifting Men's Heavyweight,Gold
19625,10357,Russia,RUS,2008,Volleyball Men's Volleyball,Bronze
19631,10360,Soviet Union,URS,1976,Handball Women's Handball,Gold
19632,10360,Soviet Union,URS,1980,Handball Women's Handball,Gold
19643,10365,Soviet Union,URS,1964,Swimming Men's 4 x 100 metres Freestyle Relay,
19647,10366,Russia,RUS,2000,Sailing Men's Two Person Dinghy,
19652,10368,Belarus,BLR,2004,Rowing Women's Quadruple Sculls,
19658,10372,Sweden,SWE,1920,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
19659,10372,Sweden,SWE,1924,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
19666,10376,Sweden,SWE,1932,"Cycling Men's Road Race, Team",Bronze
19677,10381,Finland,FIN,1924,"Athletics Men's 10,000 metres",Bronze
19679,10381,Finland,FIN,1924,"Athletics Men's Cross-Country, Team",Gold
19690,10389,United States,USA,1996,Softball Women's Softball,Gold
19692,10389,United States,USA,2004,Softball Women's Softball,Gold
19725,10404,Norway,NOR,1936,Boxing Men's Flyweight,
19755,10411,Italy,ITA,1952,"Fencing Men's Foil, Team",Silver
19756,10411,Italy,ITA,1956,"Fencing Men's Foil, Individual",Silver
19757,10411,Italy,ITA,1956,"Fencing Men's Foil, Team",Gold
19759,10413,Italy,ITA,1936,Rowing Men's Coxed Pairs,Silver
19766,10417,Argentina,ARG,1924,Weightlifting Men's Light-Heavyweight,
19783,10425,Norway,NOR,2016,"Wrestling Men's Featherweight, Greco-Roman",Bronze
19786,10428,Germany,GER,2004,"Cycling Men's 1,000 metres Time Trial",
19789,10430,Canada,CAN,2012,Rowing Men's Coxed Eights,Silver
19790,10431,Soviet Union,URS,1976,Volleyball Women's Volleyball,Silver
19802,10437,Netherlands,NED,1932,Athletics Men's 200 metres,
19810,10441,Austria,AUT,1964,"Wrestling Men's Lightweight, Greco-Roman",
19814,10443,France,FRA,1920,Gymnastics Men's Team All-Around,Bronze
19821,10444,France,FRA,1980,Swimming Women's 100 metres Freestyle,
19827,10446,Germany,GER,1932,Boxing Men's Light-Heavyweight,
19829,10448,United States,USA,1956,Weightlifting Men's Featherweight,Gold
19830,10448,United States,USA,1960,Weightlifting Men's Featherweight,Silver
19831,10448,United States,USA,1964,Weightlifting Men's Featherweight,Silver
19833,10450,Czechoslovakia,TCH,1980,Football Men's Football,Gold
19834,10451,Germany,GER,2012,Gymnastics Women's Team All-Around,
19836,10451,Germany,GER,2012,Gymnastics Women's Horse Vault,
19845,10457,Canada,CAN,1984,Judo Men's Heavyweight,Bronze
19854,10464,United States,USA,1904,Boxing Men's Heavyweight,Gold
19877,10471,Canada,CAN,1996,Boxing Men's Super-Heavyweight,
19881,10474,Norway,NOR,1952,"Shooting Men's Running Target, Single And Double Shot",
19893,10480,United States,USA,1988,Water Polo Men's Water Polo,Silver
19898,10483,Sweden,SWE,1952,Gymnastics Women's Team Portable Apparatus,Gold
19904,10483,Sweden,SWE,1956,Gymnastics Women's Team All-Around,
19905,10483,Sweden,SWE,1956,Gymnastics Women's Team Portable Apparatus,Silver
19910,10484,Sweden,SWE,1928,Boxing Men's Lightweight,Bronze
19916,10486,Sweden,SWE,1936,Athletics Men's Shot Put,
19920,10488,Sweden,SWE,1960,Athletics Women's Discus Throw,
19944,10503,Sweden,SWE,2008,Swimming Women's 10 kilometres Open Water,
19945,10504,Sweden,SWE,1948,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
19974,10515,United States,USA,1988,Weightlifting Men's Super-Heavyweight,
19975,10516,Erna Signe,SWE,1912,Sailing Mixed 12 metres,Silver
20028,10544,Sweden,SWE,2000,Athletics Women's High Jump,Bronze
20073,10572,Sweden,SWE,1920,"Athletics Men's 5,000 metres",
20075,10573,Sweden,SWE,1924,Boxing Men's Flyweight,
20080,10578,Sirene,NOR,1960,Sailing Mixed Two Person Heavyweight Dinghy,Gold
20094,10589,Serbia and Montenegro,SCG,1996,Basketball Men's Basketball,Silver
20096,10591,Ukraine,UKR,2012,Boxing Men's Light-Welterweight,Silver
20097,10592,Australia,AUS,1984,Swimming Men's 200 metres Breaststroke,Silver
20120,10612,Netherlands,NED,2008,Sailing Women's Two Person Dinghy,Silver
20121,10612,Netherlands,NED,2012,Sailing Women's Two Person Dinghy,Bronze
20123,10614,Hungary,HUN,2012,Gymnastics Men's Pommelled Horse,Gold
20127,10615,Samoa,SAM,2012,"Canoeing Men's Canadian Singles, 1,000 metres",
20132,10618,United States,USA,1988,Swimming Men's 100 metres Backstroke,Silver
20133,10618,United States,USA,1988,Swimming Men's 4 x 100 metres Medley Relay,Gold
20134,10618,United States,USA,1992,Swimming Men's 100 metres Backstroke,Bronze
20135,10618,United States,USA,1992,Swimming Men's 4 x 100 metres Medley Relay,Gold
20136,10619,Czechoslovakia,TCH,1988,Basketball Women's Basketball,
20144,10624,Soviet Union,URS,1956,Rowing Men's Double Sculls,Gold
20145,10624,Soviet Union,URS,1960,Rowing Men's Double Sculls,Silver
20146,10625,United States,USA,1984,Judo Men's Middleweight,Silver
20149,10627,Sweden,SWE,1952,"Wrestling Men's Welterweight, Freestyle",Silver
20150,10627,Sweden,SWE,1956,"Wrestling Men's Welterweight, Greco-Roman",Bronze
20151,10627,Sweden,SWE,1956,"Wrestling Men's Welterweight, Freestyle",
20166,10636,Chile,CHI,1924,Cycling Men's Sprint,
20167,10636,Chile,CHI,1924,Cycling Men's 50 kilometres,
20175,10641,Cuba,CUB,2008,Judo Women's Extra-Lightweight,Silver
20176,10641,Cuba,CUB,2012,Judo Women's Half-Lightweight,Silver
20192,10648,Spain,ESP,1988,Rowing Men's Double Sculls,
20201,10653,France,FRA,1992,Judo Women's Half-Lightweight,
20202,10654,United States,USA,1912,"Athletics Men's 5,000 metres",
20203,10654,United States,USA,1912,"Athletics Men's 3,000 metres, Team",Gold
20207,10656,Spain,ESP,2016,Judo Women's Middleweight,
20222,10665,Cuba,CUB,1972,Weightlifting Men's Super-Heavyweight,
20236,10673,Socit Nautique de Bayonne-1,FRA,1906,Rowing Men's Coxed Pairs (1 mile),Bronze
20237,10673,Socit Nautique de Bayonne-2,FRA,1906,Rowing Men's Coxed Fours,Bronze
20238,10674,France,FRA,2008,Swimming Men's 50 metres Freestyle,Bronze
20239,10674,France,FRA,2008,Swimming Men's 100 metres Freestyle,Gold
20240,10674,France,FRA,2008,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
20247,10678,Canada,CAN,1952,"Wrestling Men's Featherweight, Freestyle",
20256,10685,France,FRA,1956,Athletics Men's 110 metres Hurdles,
20257,10686,France,FRA,2004,Rowing Men's Coxed Eights,
20268,10689,Trinidad and Tobago,TTO,1964,Athletics Men's 4 x 400 metres Relay,Bronze
20271,10692,Luxembourg,LUX,1928,Swimming Women's 100 metres Backstroke,
20273,10694,New Zealand,NZL,1984,Weightlifting Men's Light-Heavyweight,
20278,10696,France,FRA,1996,Shooting Women's Double Trap,
20282,10699,Great Britain,GBR,1920,"Wrestling Men's Featherweight, Freestyle",Bronze
20284,10701,France,FRA,2000,Swimming Men's 200 metres Breaststroke,
20295,10707,Honduras,HON,2008,Rowing Men's Single Sculls,
20299,10709,Italy,ITA,1996,Volleyball Men's Volleyball,Silver
20310,10715,France,FRA,1948,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
20313,10715,France,FRA,1952,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
20326,10722,Italy,ITA,1928,Rowing Men's Single Sculls,
20328,10724,Poland,POL,2008,Rowing Men's Lightweight Coxless Fours,Silver
20368,10743,Austria,AUT,1906,Swimming Men's 4 x 250 metres Freestyle Relay,
20372,10744,Germany,GER,1928,Cycling Men's Sprint,
20373,10744,Germany,GER,1928,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
20380,10751,Canada,CAN,1984,Diving Women's Springboard,Gold
20384,10755,Germany,GER,1932,Boxing Men's Middleweight,
20385,10756,France,FRA,1920,Weightlifting Men's Heavyweight,Bronze
20390,10759,Lithuania,LTU,2016,Sailing Men's Windsurfer,
20394,10763,Denmark,DEN,1920,"Fencing Men's Foil, Individual",
20398,10763,Denmark,DEN,1920,"Fencing Men's Sabre, Team",
20405,10768,Norway,NOR,1996,Beach Volleyball Women's Beach Volleyball,
20409,10769,White Lady,DEN,1964,Sailing Mixed Three Person Keelboat,Gold
20415,10771,Web II,DEN,1960,Sailing Mixed 5.5 metres,Silver
20422,10774,France,FRA,1968,"Fencing Men's Foil, Team",Gold
20423,10774,France,FRA,1972,"Fencing Men's Foil, Team",Bronze
20439,10783,Belgium,BEL,1920,"Fencing Men's Foil, Team",
20441,10784,France,FRA,2004,Rowing Men's Quadruple Sculls,
20459,10791,Germany-2,GER,1996,"Canoeing Men's Canadian Doubles, Slalom",
20464,10794,Peru,PER,1932,Art Competitions Mixed Unknown Event,
20468,10798,Italy,ITA,1960,Athletics Men's 200 metres,Gold
20475,10799,Great Britain,GBR,1912,Football Men's Football,Gold
20479,10801,United States,USA,1928,Gymnastics Men's Team All-Around,
20485,10802,United States,USA,2016,Athletics Women's Hammer Throw,
20489,10804,Australia,AUS,1960,Swimming Men's 4 x 100 metres Medley Relay,Silver
20490,10804,Australia,AUS,1964,Swimming Men's 200 metres Butterfly,Gold
20491,10804,Australia,AUS,1964,Swimming Men's 4 x 100 metres Medley Relay,Bronze
20495,10807,United States,USA,1928,"Wrestling Men's Lightweight, Freestyle",
20514,10820,Italy,ITA,1924,Boxing Men's Heavyweight,
20527,10830,Denmark,DEN,1912,Football Men's Football,Silver
20532,10834,France,FRA,1988,"Shooting Men's Air Rifle, 10 metres",Silver
20576,10854,France,FRA,2016,Cycling Women's Omnium,
20583,10859,Hungary,HUN,1912,"Fencing Men's Sabre, Team",Gold
20584,10859,Hungary,HUN,1924,"Fencing Men's Foil, Team",Bronze
20585,10859,Hungary,HUN,1924,"Fencing Men's Sabre, Team",Silver
20590,10863,Sweden,SWE,1912,"Gymnastics Men's Team All-Around, Swedish System",Gold
20601,10867,Italy,ITA,1908,"Fencing Men's Sabre, Team",Silver
20611,10872,Italy,ITA,1924,Athletics Men's Marathon,Silver
20614,10874,Italy,ITA,1964,Boxing Men's Welterweight,Bronze
20615,10875,Pistoja/Firenze,ITA,1906,Gymnastics Men's Team All-Around,Bronze
20623,10881,Canada,CAN,1964,Athletics Men's 800 metres,
20630,10886,Italy,ITA,1984,Volleyball Men's Volleyball,Bronze
20650,10902,Italy,ITA,1956,Athletics Women's 4 x 100 metres Relay,
20651,10902,Italy,ITA,1960,Athletics Women's 80 metres Hurdles,
20663,10907,France,FRA,1972,Athletics Men's 4 x 400 metres Relay,Bronze
20664,10908,East Germany,GDR,1976,Rowing Men's Double Sculls,Bronze
20670,10911,Germany,GER,2008,Rowing Men's Quadruple Sculls,
20673,10913,France,FRA,1928,"Equestrianism Men's Jumping, Individual",Silver
20683,10916,France,FRA,2012,Sailing Women's Three Person Keelboat,
20702,10920,France,FRA,1900,Swimming Men's 200 metres Obstacle Course,
20703,10920,Tritons Lillois-2,FRA,1900,Swimming Men's 200 metres Team Swimming,Silver
20706,10922,Australia,AUS,1976,Sailing Mixed One Person Dinghy,Bronze
20707,10923,United States,USA,1984,Sailing Mixed One Person Dinghy,Silver
20726,10937,United States,USA,1996,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
20739,10944,United States,USA,1984,Volleyball Men's Volleyball,Gold
20751,10948,Soviet Union,URS,1980,Rowing Men's Coxed Fours,Silver
20762,10953,Hungary,HUN,1936,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
20767,10955,Netherlands,NED,2008,Sailing Women's Three Person Keelboat,Silver
20772,10957,Sweden,SWE,1996,"Wrestling Men's Light-Flyweight, Freestyle",
20788,10963,Soviet Union,URS,1956,Athletics Women's 80 metres Hurdles,
20790,10965,Turkey,TUR,1964,"Wrestling Men's Bantamweight, Greco-Roman",
20796,10967,Great Britain,GBR,1928,Swimming Men's 100 metres Backstroke,
20798,10968,Ukraine,UKR,2000,Swimming Women's 4 x 100 metres Freestyle Relay,
20807,10973,Romania,ROU,1980,Athletics Women's 800 metres,
20808,10973,Romania,ROU,1984,Athletics Women's 800 metres,Gold
20809,10973,Romania,ROU,1984,"Athletics Women's 1,500 metres",Silver
20818,10978,Russia,RUS,2012,Athletics Women's Hammer Throw,
20819,10979,Cameroon,CMR,1968,Boxing Men's Welterweight,Silver
20821,10981,France,FRA,1900,Athletics Men's Marathon,
20830,10987,Canada,CAN,1948,"Art Competitions Mixed Literature, Unknown Event",
20835,10990,Monaco,MON,1984,Judo Men's Middleweight,
20851,10996,France,FRA,1968,Athletics Women's 400 metres,Gold
20865,11005,United States,USA,1988,"Equestrianism Mixed Jumping, Individual",Silver
20866,11005,United States,USA,1988,"Equestrianism Mixed Jumping, Team",Silver
20871,11009,Australia,AUS,1992,Hockey Men's Hockey,Silver
20874,11012,Soviet Union,URS,1956,"Wrestling Men's Lightweight, Freestyle",Bronze
20887,11018,Argentina,ARG,1936,Athletics Men's 200 metres,
20898,11026,Cuba,CUB,2004,Baseball Men's Baseball,Gold
20906,11029,Cuba,CUB,1992,"Fencing Men's Foil, Team",Silver
20909,11030,Cuba,CUB,2008,Diving Men's Springboard,
20911,11031,Puerto Rico,PUR,1992,"Wrestling Men's Middleweight, Freestyle",
20922,11037,Russia,RUS,2012,Boxing Men's Heavyweight,
20943,11053,Switzerland,SUI,1936,Rowing Men's Coxless Fours,Bronze
20944,11053,Switzerland,SUI,1936,Rowing Men's Coxed Fours,Silver
20946,11054,Switzerland,SUI,2000,Cycling Men's Madison,
20949,11057,France,FRA,2000,Rowing Men's Lightweight Coxless Fours,Gold
20952,11059,Sweden,SWE,1972,Weightlifting Men's Middle-Heavyweight,Bronze
20956,11063,Italy,ITA,1936,"Athletics Men's 3,000 metres Steeplechase",
20959,11066,France,FRA,1988,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
20963,11069,Italy,ITA,2004,"Cycling Men's Road Race, Individual",Gold
20976,11076,Great Britain,GBR,1912,Gymnastics Men's Team All-Around,Bronze
21006,11093,Netherlands,NED,1906,Tennis Men's Doubles,
21008,11095,Boreas-2,NED,1920,Sailing Mixed 12 foot,Silver
21012,11098,Netherlands,NED,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
21037,11111,Canada,CAN,2016,Cycling Women's Team Pursuit,Bronze
21052,11119,New Zealand,NZL,2008,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
21053,11119,New Zealand,NZL,2012,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
21063,11123,France,FRA,1948,"Cycling Men's Road Race, Individual",Gold
21064,11123,France,FRA,1948,"Cycling Men's Road Race, Team",Bronze
21087,11132,"New York Turnverein, New York",USA,1904,Gymnastics Men's Team All-Around,Silver
21092,11136,East Germany,GDR,1980,Handball Men's Handball,Gold
21095,11139,Germany,GER,1964,Athletics Men's Decathlon,
21097,11140,United States,USA,1932,Art Competitions Mixed Music,
21098,11141,Germany,GER,1992,Boxing Men's Light-Middleweight,
21101,11143,East Germany,GDR,1976,Athletics Men's Shot Put,Gold
21102,11143,East Germany,GDR,1980,Athletics Men's Shot Put,Bronze
21106,11144,East Germany,GDR,1976,Boxing Men's Light-Welterweight,
21107,11145,Germany,GER,1964,Athletics Men's Hammer Throw,Bronze
21113,11146,United States,USA,2012,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
21116,11147,West Germany,FRG,1984,Swimming Women's 100 metres Butterfly,
21117,11147,West Germany,FRG,1984,Swimming Women's 200 metres Butterfly,Bronze
21118,11147,West Germany,FRG,1984,Swimming Women's 4 x 100 metres Medley Relay,Silver
21121,11148,Turkey,TUR,1996,Boxing Men's Middleweight,Silver
21153,11170,Madagascar,MAD,1984,Boxing Men's Featherweight,
21162,11173,Ukraine,UKR,2004,Rhythmic Gymnastics Women's Individual,Bronze
21163,11173,Ukraine,UKR,2008,Rhythmic Gymnastics Women's Individual,Bronze
21172,11175,Azerbaijan,AZE,2012,"Canoeing Men's Canadian Doubles, 1,000 metres",
21174,11176,Zimbabwe,ZIM,1964,Diving Women's Platform,
21181,11182,Malta,MLT,2004,Judo Women's Lightweight,
21184,11184,Serbia,SRB,2012,Rowing Men's Coxless Pairs,
21185,11184,Serbia,SRB,2016,Rowing Men's Coxless Pairs,
21192,11190,India,IND,1980,Hockey Women's Hockey,
21196,11193,Siames-Cat,THA,1960,Sailing Mixed Two Person Keelboat,
21201,11195,United States,USA,2004,Gymnastics Women's Team All-Around,Silver
21208,11197,India,IND,1980,Hockey Men's Hockey,Gold
21235,11214,Mauritius,MRI,2008,Weightlifting Men's Middle-Heavyweight,
21259,11223,China,CHN,1996,Gymnastics Women's Horse Vault,
21260,11223,China,CHN,1996,Gymnastics Women's Uneven Bars,Silver
21270,11231,Italy,ITA,1976,Sailing Mixed Multihull,
21300,11242,Italy,ITA,1992,"Fencing Women's Foil, Team",Gold
21303,11242,Italy,ITA,2000,"Fencing Women's Foil, Team",Gold
21307,11244,Italy,ITA,1964,Cycling Men's Sprint,Silver
21308,11244,Italy,ITA,1964,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
21310,11246,Italy,ITA,1936,"Cycling Men's Team Pursuit, 4,000 metres",Silver
21316,11249,Italia,ITA,1936,Sailing Mixed 8 metres,Gold
21321,11251,Italy,ITA,2008,Sailing Mixed Multihull,
21324,11253,Italy,ITA,1936,"Art Competitions Mixed Music, Instrumental And Chamber",
21325,11253,Italy,ITA,1948,"Art Competitions Mixed Music, Vocals",Bronze
21336,11259,Italy,ITA,1920,Weightlifting Men's Middleweight,Silver
21338,11260,Italy,ITA,1912,Gymnastics Men's Team All-Around,Gold
21348,11262,France,FRA,1956,"Cycling Men's Team Pursuit, 4,000 metres",Silver
21349,11263,Switzerland,SUI,1952,Rowing Men's Coxed Fours,Silver
21365,11271,Italy,ITA,1932,Boxing Men's Lightweight,
21370,11275,United States,USA,1996,Synchronized Swimming Women's Team,Gold
21390,11289,Poland,POL,1992,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
21392,11289,Poland,POL,2000,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
21403,11296,Angelita,USA,1932,Sailing Mixed 8 metres,Gold
21415,11304,Belarus,BLR,2004,Rowing Women's Coxless Pairs,Bronze
21416,11304,Belarus,BLR,2008,Rowing Women's Coxless Pairs,Bronze
21426,11308,Switzerland,SUI,1924,Weightlifting Men's Lightweight,
21429,11311,Switzerland,SUI,1948,"Art Competitions Mixed Literature, Dramatic Works",
21448,11323,France,FRA,1976,Weightlifting Men's Featherweight,
21459,11333,Nigeria,NGR,1988,"Wrestling Men's Heavyweight, Freestyle",
21460,11334,Argentina,ARG,1928,Football Men's Football,Silver
21462,11335,Morocco,MAR,2000,Athletics Women's 400 metres Hurdles,Bronze
21472,11340,Norway,NOR,1912,Athletics Men's Pentathlon,Gold
21475,11342,Germany,GER,1908,Swimming Men's 100 metres Backstroke,Gold
21483,11345,Germany,GER,1960,Athletics Women's 4 x 100 metres Relay,Silver
21486,11347,Germany,GER,2008,Hockey Men's Hockey,Gold
21488,11349,Great Britain,GBR,1908,Jeu De Paume Men's Singles,
21495,11351,Germany,GER,2012,Swimming Men's 400 metres Freestyle,
21523,11360,Brazil,BRA,1980,Sailing Mixed One Person Dinghy,
21540,11371,Poland,POL,2012,Cycling Men's Team Sprint,
21568,11380,Soviet Union,URS,1964,"Athletics Men's 3,000 metres Steeplechase",Bronze
21569,11381,Soviet Union,URS,1968,Weightlifting Men's Light-Heavyweight,Silver
