Nation,NOC,Year,Sport,Event,Medal
Netherlands,NED,1964,Swimming,Swimming Women's 100 metres Butterfly,Silver
Netherlands,NED,1968,Swimming,Swimming Women's 200 metres Butterfly,Gold
Greece,GRE,1996,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Finland,FIN,1928,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Finland,FIN,1932,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Russia,RUS,1996,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Germany,GDR,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Croatia,CRO,2016,Athletics,Athletics Women's Javelin Throw,Gold
USA,USA,1964,Swimming,Swimming Women's 200 metres Breaststroke,Silver
USA,USA,1968,Swimming,Swimming Women's 200 metres Individual Medley,Gold
USA,USA,1968,Swimming,Swimming Women's 400 metres Individual Medley,Gold
Germany,FRG,1976,Rowing,Rowing Men's Single Sculls,Silver
Germany,FRG,1984,Rowing,Rowing Men's Single Sculls,Silver
Germany,FRG,1988,Rowing,Rowing Men's Single Sculls,Silver
USA,USA,1920,Boxing,Boxing Men's Welterweight,Bronze
Russia,URS,1976,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Russia,URS,1980,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Hungary,HUN,1980,Fencing,"Fencing Men's epee, Individual",Silver
Finland,FIN,1912,Athletics,"Athletics Men's 5,000 metres",Gold
Finland,FIN,1912,Athletics,"Athletics Men's 10,000 metres",Gold
Finland,FIN,1912,Athletics,"Athletics Men's Cross-Country, Individual",Gold
Finland,FIN,1920,Athletics,Athletics Men's Marathon,Gold
Finland,FIN,1992,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
Russia,URS,1976,Weightlifting,Weightlifting Men's Featherweight,Gold
Russia,URS,1964,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Greece,GRE,1896,Cycling,Cycling Men's 100 kilometres,Silver
Bulgaria,BUL,1976,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Bulgaria,BUL,1980,Weightlifting,Weightlifting Men's Middleweight,Bronze
Bulgaria,BUL,1976,Boxing,Boxing Men's Light-Welterweight,Bronze
Israel,ISR,2000,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
Finland,FIN,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Bronze
Finland,FIN,1920,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver
Finland,FIN,1920,Shooting,"Shooting Men's Running Target, Double Shot, Team",Bronze
Russia,URS,1988,Fencing,"Fencing Men's epee, Team",Bronze
Russia,EUN,1992,Fencing,"Fencing Men's epee, Individual",Silver
Russia,EUN,1992,Fencing,"Fencing Men's epee, Team",Bronze
Russia,RUS,2000,Fencing,"Fencing Men's epee, Individual",Gold
Russia,RUS,2004,Fencing,"Fencing Men's epee, Individual",Bronze
Russia,RUS,2008,Cycling,"Cycling Men's Road Race, Individual",Bronze
Russia,RUS,2012,Athletics,Athletics Women's Shot Put,Silver
Russia,RUS,1908,Figure Skating,Figure Skating Men's Special Figures,Gold
Hungary,HUN,2000,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Hungary,HUN,2004,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Russia,URS,1980,Athletics,Athletics Women's Long Jump,Gold
Poland,POL,1972,Athletics,Athletics Men's Shot Put,Gold
Hungary,HUN,1988,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Russia,RUS,2004,Swimming,Swimming Women's 200 metres Backstroke,Silver
Russia,URS,1980,Athletics,Athletics Women's 100 metres Hurdles,Gold
Russia,URS,1972,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Russia,RUS,2012,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Bulgaria,BUL,1988,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Russia,URS,1980,Boxing,Boxing Men's Light-Welterweight,Silver
Poland,POL,1932,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver
Russia,URS,1980,Athletics,Athletics Women's 100 metres,Gold
Russia,URS,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
China,CHN,1996,Table Tennis,Table Tennis Men's Doubles,Gold
China,CHN,2000,Table Tennis,Table Tennis Men's Singles,Gold
China,CHN,2000,Table Tennis,Table Tennis Men's Doubles,Silver
Kenya,KEN,1996,Athletics,"Athletics Women's 5,000 metres",Silver
Norway,NOR,1952,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Sweden,SWE,1920,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Germany,GER,2000,Fencing,"Fencing Women's Foil, Individual",Silver
USA,USA,1952,Swimming,Swimming Men's 400 metres Freestyle,Silver
USA,USA,1952,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
USA,USA,1952,Weightlifting,Weightlifting Men's Lightweight,Gold
USA,USA,1956,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
USA,USA,1960,Weightlifting,Weightlifting Men's Middleweight,Silver
Poland,POL,1928,Athletics,Athletics Women's Discus Throw,Gold
Norway,NOR,1936,Sailing,Sailing Mixed 6 metres,Silver
Australia,AUS,1960,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Australia,AUS,1960,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
Greece,GRE,1896,Cycling,"Cycling Men's Road Race, Individual",Gold
Russia,URS,1976,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Cyprus,CYP,2012,Sailing,Sailing Men's One Person Dinghy,Silver
Germany,GER,1932,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Bronze
Russia,URS,1956,Athletics,Athletics Women's Javelin Throw,Bronze
Nigeria,NGR,1984,Boxing,Boxing Men's Featherweight,Silver
Russia,URS,1980,Swimming,Swimming Men's 200 metres Freestyle,Gold
Russia,URS,1980,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Russia,URS,1980,Cycling,Cycling Men's Sprint,Bronze
Greece,GRE,2016,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze
Greece,GRE,2016,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold
Russia,URS,1980,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Russia,URS,1972,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Russia,URS,1972,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Russia,URS,1972,Gymnastics,Gymnastics Women's Balance Beam,Gold
Russia,URS,1976,Gymnastics,Gymnastics Women's Balance Beam,Silver
Finland,FIN,1956,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Russia,URS,1960,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Germany,GER,1912,Tennis,Tennis Women's Singles,Silver
Germany,GER,1912,Tennis,Tennis Mixed Doubles,Gold
Kenya,KEN,1984,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Finland,FIN,1988,Athletics,Athletics Men's Javelin Throw,Gold
Czech Republic,TCH,1964,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
USA,USA,1976,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Canada,CAN,1996,Rowing,Rowing Women's Coxed Eights,Silver
Sweden,SWE,1992,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
Russia,URS,1968,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Silver
Russia,RUS,1996,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Russia,URS,1960,Basketball,Basketball Men's Basketball,Silver
Germany,GER,1928,Athletics,Athletics Men's 200 metres,Bronze
Russia,URS,1980,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
Ukraine,UKR,1996,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Ukraine,UKR,2008,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver
Russia,URS,1976,Weightlifting,Weightlifting Men's Lightweight,Gold
Russia,URS,1980,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Russia,URS,1952,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Hungary,HUN,1952,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Hungary,HUN,1952,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Hungary,HUN,1952,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Hungary,HUN,1952,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Russia,RUS,2012,Swimming,Swimming Men's 100 metres Butterfly,Silver
Russia,RUS,2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Russia,URS,1972,Rowing,Rowing Men's Double Sculls,Gold
Russia,URS,1976,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Russia,URS,1988,Volleyball,Volleyball Women's Volleyball,Gold
Poland,POL,1996,Athletics,Athletics Men's 50 kilometres Walk,Gold
Poland,POL,2000,Athletics,Athletics Men's 20 kilometres Walk,Gold
Poland,POL,2000,Athletics,Athletics Men's 50 kilometres Walk,Gold
Poland,POL,2004,Athletics,Athletics Men's 50 kilometres Walk,Gold
Germany,GER,1936,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
Poland,POL,1980,Boxing,Boxing Men's Featherweight,Bronze
Poland,POL,1976,Boxing,Boxing Men's Featherweight,Bronze
Russia,URS,1976,Diving,Diving Men's Springboard,Bronze
Kenya,KEN,2000,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Russia,URS,1976,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Russia,URS,1976,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Japan,JPN,1992,Judo,Judo Men's Extra-Lightweight,Bronze
Russia,URS,1980,Boxing,Boxing Men's Light-Middleweight,Silver
Russia,URS,1968,Swimming,Swimming Men's 100 metres Breaststroke,Silver
Russia,URS,1968,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Finland,FIN,1988,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Finland,FIN,1932,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Finland,FIN,1936,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Finland,FIN,1912,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Finland,FIN,1920,Athletics,"Athletics Men's Cross-Country, Team",Gold
Finland,FIN,1952,Boxing,Boxing Men's Heavyweight,Bronze
USA,USA,1988,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
USA,USA,1992,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Bulgaria,BUL,1972,Boxing,Boxing Men's Flyweight,Gold
Bulgaria,BUL,1988,Athletics,Athletics Women's High Jump,Silver
Bulgaria,BUL,1996,Athletics,Athletics Women's High Jump,Gold
Russia,URS,1964,Fencing,"Fencing Men's epee, Individual",Bronze
Germany,GDR,1972,Gymnastics,Gymnastics Men's Horse Vault,Gold
Czech Republic,CZE,2008,Shooting,Shooting Men's Trap,Gold
Germany,GDR,1976,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Ukraine,UKR,2004,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold
Ukraine,UKR,2012,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze
Ukraine,UKR,2012,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
Russia,RUS,2004,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Russia,RUS,2004,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Russia,RUS,2008,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
Bulgaria,BUL,1976,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
Russia,URS,1968,Shooting,"Shooting Mixed Free Pistol, 50 metres",Gold
Hungary,HUN,1976,Weightlifting,Weightlifting Men's Flyweight,Silver
Japan,JPN,1984,Weightlifting,Weightlifting Men's Bantamweight,Bronze
Japan,JPN,1988,Synchronized Swimming,Synchronized Swimming Women's Solo,Bronze
Japan,JPN,1988,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Ukraine,UKR,2000,Boxing,Boxing Men's Lightweight,Silver
Germany,GDR,1976,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Germany,GER,2000,Fencing,"Fencing Men's Sabre, Individual",Bronze
Russia,URS,1952,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Russia,RUS,2000,Athletics,Athletics Women's Long Jump,Bronze
Russia,RUS,2004,Athletics,Athletics Women's Long Jump,Bronze
Switzerland,SUI,1964,Rowing,Rowing Men's Single Sculls,Bronze
Germany,FRG,1972,Boxing,Boxing Men's Light-Middleweight,Gold
Czech Republic,TCH,1924,Gymnastics,Gymnastics Men's Horse Vault,Silver
France,FRA,1948,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
Hungary,HUN,1996,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Hungary,HUN,2000,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Hungary,HUN,1992,Judo,Judo Men's Half-Heavyweight,Gold
Hungary,HUN,1980,Fencing,"Fencing Women's Foil, Team",Bronze
Hungary,HUN,1996,Boxing,Boxing Men's Bantamweight,Gold
Hungary,HUN,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
USA,USA,2016,Athletics,Athletics Men's Shot Put,Silver
Hungary,HUN,1956,Athletics,"Athletics Men's 10,000 metres",Silver
Hungary,HUN,2000,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Hungary,HUN,1948,Fencing,"Fencing Men's Sabre, Individual",Bronze
Hungary,HUN,1952,Fencing,"Fencing Men's Sabre, Individual",Gold
Hungary,HUN,1988,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Hungary,HUN,1968,Athletics,Athletics Women's Pentathlon,Bronze
Hungary,HUN,2004,Athletics,Athletics Men's Discus Throw,Silver
Russia,URS,1988,Athletics,Athletics Men's Triple Jump,Bronze
Latvia,LAT,2008,Athletics,Athletics Men's Javelin Throw,Silver
Russia,RUS,2012,Fencing,"Fencing Men's Sabre, Individual",Bronze
Finland,FIN,1952,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Hungary,HUN,1996,Fencing,"Fencing Men's Sabre, Team",Silver
Russia,URS,1976,Archery,Archery Women's Individual,Silver
Russia,URS,1988,Cycling,Cycling Men's Sprint,Silver
Russia,URS,1980,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Russia,URS,1980,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
USA,USA,2000,Swimming,Swimming Women's 200 metres Breaststroke,Silver
Poland,POL,1980,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Australia,AUS,1996,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Australia,AUS,1996,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Australia,AUS,1996,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
Hungary,HUN,2012,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Hungary,HUN,2016,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Hungary,HUN,2016,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Czech Republic,TCH,1960,Rowing,Rowing Men's Double Sculls,Gold
Poland,POL,1980,Athletics,Athletics Men's Pole Vault,Gold
Greece,GRE,1906,Gymnastics,Gymnastics Men's Rope Climbing,Bronze
Poland,POL,1980,Fencing,"Fencing Men's Foil, Team",Bronze
Hungary,HUN,1964,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Hungary,HUN,1968,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Slovenia,SLO,2008,Athletics,Athletics Men's Hammer Throw,Gold
Slovenia,SLO,2012,Athletics,Athletics Men's Hammer Throw,Silver
Russia,URS,1968,Athletics,Athletics Women's High Jump,Bronze
Poland,POL,2000,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Poland,POL,2008,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Poland,POL,2000,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
Netherlands,NED,1936,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
USA,USA,1900,Athletics,Athletics Men's 60 metres,Gold
USA,USA,1900,Athletics,Athletics Men's 110 metres Hurdles,Gold
USA,USA,1900,Athletics,Athletics Men's 200 metres Hurdles,Gold
USA,USA,1900,Athletics,Athletics Men's Long Jump,Gold
USA,USA,1996,Rowing,Rowing Women's Coxless Pairs,Silver
USA,USA,2000,Rowing,Rowing Women's Coxless Pairs,Bronze
Czech Republic,CZE,2000,Boxing,Boxing Men's Light-Heavyweight,Silver
Germany,GDR,1980,Gymnastics,Gymnastics Women's Horse Vault,Silver
Russia,URS,1980,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Russia,URS,1980,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Bulgaria,BUL,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
Czech Republic,TCH,1980,Athletics,Athletics Women's 400 metres,Silver
Germany,FRG,1976,Athletics,Athletics Men's Decathlon,Silver
Germany,GER,1936,Athletics,Athletics Women's 100 metres,Bronze
Germany,GDR,1980,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,GDR,1980,Swimming,Swimming Women's 200 metres Freestyle,Gold
USA,USA,1904,Gymnastics,Gymnastics Men's Rope Climbing,Silver
Germany,FRG,1972,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Germany,GER,1960,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
USA,USA,2008,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Belarus,BLR,2008,Athletics,Athletics Men's Decathlon,Silver
Russia,URS,1964,Athletics,Athletics Men's Triple Jump,Bronze
Russia,EUN,1992,Athletics,Athletics Women's Long Jump,Silver
Ukraine,UKR,1996,Athletics,Athletics Women's Triple Jump,Gold
Bulgaria,BUL,1972,Weightlifting,Weightlifting Men's Heavyweight,Silver
USA,USA,2000,Swimming,Swimming Men's 100 metres Backstroke,Gold
USA,USA,2000,Swimming,Swimming Men's 200 metres Backstroke,Gold
Germany,GER,1936,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Gold
USA,USA,1988,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Germany,GER,1936,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
Germany,GER,2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Germany,GER,1912,Tennis,Tennis Men's Singles,Bronze
Russia,URS,1956,Athletics,Athletics Men's Triple Jump,Bronze
Russia,URS,1960,Athletics,Athletics Men's Triple Jump,Bronze
Czech Republic,TCH,1936,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Bronze
South Africa,RSA,1996,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Russia,URS,1964,Fencing,"Fencing Men's epee, Individual",Gold
Russia,URS,1968,Fencing,"Fencing Men's epee, Individual",Silver
Russia,URS,1968,Fencing,"Fencing Men's epee, Team",Silver
Russia,URS,1972,Fencing,"Fencing Men's epee, Team",Bronze
Norway,NOR,2012,Cycling,"Cycling Men's Road Race, Individual",Bronze
Russia,EUN,1992,Athletics,Athletics Women's Shot Put,Gold
Russia,URS,1956,Athletics,Athletics Men's Hammer Throw,Silver
USA,USA,1924,Gymnastics,Gymnastics Men's Horse Vault,Gold
Slovakia,SVK,2004,Judo,Judo Men's Half-Lightweight,Silver
Norway,NOR,1920,Figure Skating,Figure Skating Men's Singles,Silver
Germany,GER,1936,Sailing,Sailing Mixed One Person Dinghy,Silver
Russia,URS,1976,Rowing,Rowing Women's Coxed Fours,Bronze
Poland,POL,1924,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze
Germany,GDR,1988,Gymnastics,Gymnastics Men's Horse Vault,Silver
Netherlands,NED,2012,Swimming,Swimming Women's 50 metres Freestyle,Gold
Netherlands,NED,2012,Swimming,Swimming Women's 100 metres Freestyle,Gold
Austria,AUT,1984,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Russia,URS,1976,Fencing,"Fencing Men's Sabre, Individual",Gold
Russia,URS,1980,Fencing,"Fencing Men's Sabre, Individual",Gold
Czech Republic,CZE,2016,Judo,Judo Men's Half-Heavyweight,Gold
Thailand,THA,2016,Weightlifting,Weightlifting Men's Bantamweight,Bronze
South Africa,RSA,2000,Athletics,Athletics Men's Discus Throw,Bronze
Germany,GDR,1980,Boxing,Boxing Men's Welterweight,Bronze
Germany,GER,1936,Athletics,Athletics Women's Javelin Throw,Silver
Germany,GER,1960,Athletics,Athletics Men's Javelin Throw,Silver
Lithuania,LTU,2008,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Germany,GER,2000,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
USA,USA,1968,Swimming,Swimming Women's 800 metres Freestyle,Silver
Russia,URS,1960,Diving,Diving Women's Platform,Bronze
Hungary,HUN,2004,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
Ukraine,UKR,1996,Athletics,Athletics Men's Hammer Throw,Bronze
Russia,URS,1980,Swimming,Swimming Men's 200 metres Freestyle,Silver
Russia,URS,1980,Swimming,Swimming Men's 400 metres Freestyle,Silver
Russia,URS,1980,Rowing,Rowing Men's Coxed Pairs,Silver
Poland,POL,1956,Athletics,Athletics Women's Long Jump,Gold
Poland,POL,1960,Athletics,Athletics Women's Long Jump,Silver
Poland,POL,1960,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Poland,POL,1992,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Georgia,GEO,1996,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Georgia,GEO,2000,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
South Korea,KOR,2016,Archery,Archery Men's Individual,Gold
Czech Republic,TCH,1960,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Poland,POL,1980,Rowing,Rowing Men's Coxed Fours,Bronze
Japan,JPN,1956,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Japan,JPN,1956,Gymnastics,Gymnastics Men's Rings,Bronze
USA,USA,2016,Golf,Golf Men's Individual,Bronze
Poland,POL,2000,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Poland,POL,2004,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Switzerland,SUI,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",Bronze
Bulgaria,BUL,1972,Weightlifting,Weightlifting Men's Lightweight,Silver
Russia,URS,1968,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Russia,URS,1968,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Russia,URS,1968,Gymnastics,Gymnastics Women's Balance Beam,Gold
USA,USA,1928,Athletics,Athletics Men's Shot Put,Gold
Japan,JPN,1976,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
Russia,EUN,1992,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Russia,RUS,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Silver
Russia,RUS,2008,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
Russia,RUS,2012,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
USA,USA,1920,Diving,Diving Men's Springboard,Gold
Germany,GER,1904,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Bronze
Germany,GER,1904,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Bronze
Germany,GER,1904,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Germany,GDR,1988,Swimming,Swimming Men's 200 metres Individual Medley,Silver
USA,USA,1932,Gymnastics,Gymnastics Men's Club Swinging,Bronze
Switzerland,SUI,1928,Equestrianism,"Equestrianism Men's Jumping, Individual",Bronze
Germany,GER,1964,Sailing,Sailing Mixed One Person Dinghy,Gold
Netherlands,NED,1972,Cycling,"Cycling Men's Road Race, Individual",Gold
Russia,URS,1980,Athletics,Athletics Men's Javelin Throw,Gold
Russia,URS,1956,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Hungary,HUN,1960,Athletics,Athletics Men's Javelin Throw,Bronze
Hungary,HUN,1964,Athletics,Athletics Men's Javelin Throw,Silver
Hungary,HUN,1968,Athletics,Athletics Men's Javelin Throw,Bronze
Hungary,HUN,1968,Fencing,"Fencing Men's epee, Individual",Gold
Hungary,HUN,1972,Fencing,"Fencing Men's epee, Individual",Bronze
Hungary,HUN,1976,Fencing,"Fencing Men's epee, Individual",Bronze
Poland,POL,1964,Boxing,Boxing Men's Light-Welterweight,Gold
Poland,POL,1968,Boxing,Boxing Men's Light-Welterweight,Gold
Belarus,BLR,2012,Weightlifting,Weightlifting Women's Heavyweight,Bronze
Czech Republic,CZE,2012,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Czech Republic,CZE,2016,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
Russia,RUS,1996,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Ukraine,UKR,2016,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Japan,JPN,1920,Tennis,Tennis Men's Singles,Silver
India,IND,2008,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
India,IND,2012,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
India,IND,2012,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Germany,GER,1996,Athletics,Athletics Women's Shot Put,Gold
Germany,GER,2000,Athletics,Athletics Women's Shot Put,Bronze
Hungary,HUN,1952,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Russia,RUS,2008,Diving,Diving Men's Synchronized Springboard,Silver
Indonesia,INA,2004,Badminton,Badminton Men's Singles,Bronze
Germany,GDR,1980,Weightlifting,Weightlifting Men's Lightweight,Silver
Germany,GDR,1988,Weightlifting,Weightlifting Men's Lightweight,Gold
Germany,GDR,1988,Athletics,"Athletics Men's 5,000 metres",Bronze
Taiwan,TPE,2016,Weightlifting,Weightlifting Women's Lightweight,Bronze
Taiwan,TPE,2000,Weightlifting,Weightlifting Women's Heavyweight,Bronze
USA,USA,2004,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
Germany,GER,2000,Cycling,"Cycling Women's Road Race, Individual",Silver
Germany,GER,1956,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Russia,URS,1980,Athletics,Athletics Women's Pentathlon,Bronze
Russia,RUS,2012,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Japan,JPN,1976,Judo,Judo Men's Half-Middleweight,Silver
Russia,URS,1964,Weightlifting,Weightlifting Men's Middleweight,Silver
Russia,URS,1968,Weightlifting,Weightlifting Men's Middleweight,Gold
Czech Republic,TCH,1968,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Gold
Czech Republic,CZE,2004,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
Czech Republic,CZE,2008,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold
Czech Republic,CZE,2008,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver
Denmark,DEN,1932,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Russia,URS,1988,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
